ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3250768,"Douglas, Roy","道格拉斯,罗伊",,1907-,英国,作曲；编曲,nan,2017-08-08
3250769,"Dowland, John",杜兰,,1563-1626,英国,作曲；鲁特琴,nan,2017-08-08
3250770,"Dowling, Fergal",杜林,,1965-,爱尔兰,作曲,nan,2017-08-08
3250771,"Downes, Andrew","唐斯,安德鲁",,1950-,英国,作曲,nan,2017-08-08
3250772,"Downes, Olin","唐斯,欧林",,1886-1955,美国,乐评,nan,2017-08-08
3250773,"Draeseke, Felix",德雷希克,,1835-1913,德国,作曲,nan,2017-08-08
3250774,"Dragatakis, Dimitris",德拉加塔基斯,,1914-2001,希腊,作曲,nan,2017-08-08
3250775,"Draghi, Antonio",德拉吉,,1635-1700,义大利,作曲,nan,2017-08-08
3250776,"Dragonetti, Domenico",德拉果内第,,1763-1846,义大利,低音提琴；作曲,nan,2017-08-08
3250777,"Drangosch, Ernesto",德朗果许,,1882-1925,阿根廷,作曲,nan,2017-08-08
3250778,"Draper, Charles",德雷伯,,1869-1952,英国,单簧管,nan,2017-08-08
3250779,"Drdla, Frantisek",德尔拉,,1868-1944,捷克,作曲,nan,2017-08-08
3250780,"Dresden, Sem",德勒斯登,,1881-1957,荷兰,作曲,nan,2017-08-08
3250781,"Drew, James",德鲁,,1929-,美国,作曲,nan,2017-08-08
3250782,"Drexler, David",德克勒,,1967-,美国,作曲,nan,2017-08-08
3250783,"Dreyschock, Alexander",德雷夏克,,1818-1869,捷克,作曲,nan,2017-08-08
3250784,"Drigo, Riccardo",德利哥,,1846-1930,义大利,作曲；指挥,nan,2017-08-08
3250785,"Drischner, Max",德利希纳,,1891-1971,德国,作曲,nan,2017-08-08
3250786,"Drouet, Louis",德鲁埃,,1792-1873,法国,长笛,nan,2017-08-08
3250787,"Druckman, Jacob",德鲁克曼,,1928-1996,美国,作曲,nan,2017-08-08
3250788,"Druschetzky, Gearg",德鲁希兹基,,1745-1819,斯洛伐克,作曲,nan,2017-08-08
3250789,"Drysdale, Learmont",德赖斯代尔,,1866-1909,英国（苏格兰）,作曲,nan,2017-08-08
3250790,"Du Caurroy, Eustache",迪考若瓦,,1549-1609,法国,作曲,nan,2017-08-08
3250791,"Du Pré, Jacqueline","迪普雷,贾桂琳",,1945-1987,英国,大提琴,nan,2017-08-08
3250792,"Du Puy, (Jean Baptiste) Edouard",迪皮,,1770 or 1771-1822,瑞士,作曲,nan,2017-08-08
3250793,"Dubensky, Arkady",杜本斯基,,1890-1966,俄国,小提琴；作曲,nan,2017-08-08
3250794,"Duble, Charles Edward ""C.E.""",杜伯,,1884-1960,美国,作曲,nan,2017-08-08
3250795,"Dubois, François Clément Théodore","迪伯瓦,弗朗索瓦",,1837-1924,法国,作曲；管风琴,nan,2017-08-08
3250796,"Dubois, Pierre Max","迪伯瓦,皮耶尔",,1930-1995,法国,作曲,nan,2017-08-08
3250797,"Duckworth, William",达克沃斯,,1943-,美国,作曲,nan,2017-08-08
3250798,"Dufay, Guillaume",迪费,,1397-1474,法国,作曲,nan,2017-08-08
3250799,"Duffeld, Kenneth Lancelot",杜飞德,,1885-1945,澳大利亚,作曲,nan,2017-08-08
3250800,"Dukas, Paul",狄卡,,1865-1935,法国,作曲；乐评,nan,2017-08-08
3250801,"Duke, John Woods",杜克,,1899-1984,美国,钢琴；作曲,nan,2017-08-08
3250802,"Dukelsky, Vladimir",杜凯斯基,,1903-1969,俄国,作曲,nan,2017-08-08
3250803,"Dunayevsky, Issac",杜纳耶夫斯基,,1900-1955,俄国,作曲,nan,2017-08-08
3250804,"Dunhill, Thomas",邓希尔,,1877-1946,英国,作曲,nan,2017-08-08
3250805,"Duni, Egidio",杜尼,,1708-1775,义大利,作曲,nan,2017-08-08
3250806,"Dunn, John",邓恩,,1866-1940,英国,小提琴,nan,2017-08-08
3250807,"Dunstable, John",邓斯泰伯,,1390-1453,英国,作曲,nan,2017-08-08
3250808,"Duparc, Henri",迪帕克,,1848-1933,法国,作曲,nan,2017-08-08
3250809,"Duphly, Jacques",迪夫利,,1715-1789,法国,作曲,nan,2017-08-08
3250810,"Dupin, Paul",迪邦,,1865-1949,法国,作曲,nan,2017-08-08
3250811,"Dupont, Auguste","迪朋,奥古斯特",,1827-1890,瑞士,钢琴；作曲,nan,2017-08-08
3250812,"Dupont, Gabriel","迪朋,加布里耶尔",,1878-1914,法国,作曲,nan,2017-08-08
3250813,"Duport, Jean-Pierre",迪伯,,1741-1818,法国,大提琴,nan,2017-08-08
3250814,"Dupré, Marcel","迪普雷,马索",,1886-1971,法国,管风琴；作曲,nan,2017-08-08
3250815,"Duprez, Gibert","迪普雷,吉伯",,1806-1896,法国,声乐,男高音,2017-08-08
3250816,"Durand, Joël-François","迪朗,弗朗索瓦",,1954-,法国,作曲,nan,2017-08-08
3250817,"Durand, Marie Auguste","迪朗,奥古斯特",,1830-1909,法国,作曲,nan,2017-08-08
3250818,"Durante, Francesco",杜朗特,,1684-1755,义大利,作曲,nan,2017-08-08
3250819,"Durey, Louis",迪瑞,,1888-1979,法国,作曲,nan,2017-08-08
3250820,"Durón, Sebastián",杜弄,,1660-1716,西班牙,作曲,nan,2017-08-08
3250821,"Durufle, Maurice",杜吕弗勒,,1902-1986,法国,作曲；管风琴,nan,2017-08-08
3250822,"Dušek, František",杜赛克，弗兰蒂谢克,,1731-1799,捷克,钢琴；作曲,nan,2017-08-08
3250824,"Dushkin, Samuel",杜希金,,1891-1976,美国,小提琴,波裔,2017-08-08
3250825,"Dussek, Jan Ladislav",杜赛克,,1760-1812,捷克,作曲,nan,2017-08-08
3250826,"Dutilleux, Henri",迪悌耶,,1916-2013,法国,作曲,nan,2017-08-08
3250827,"Dutoit, Charles",迪托瓦,,1936-,瑞士,中提琴；指挥,nan,2017-08-08
3250828,"Duval, Denise",迪瓦,,1921-,法国,声乐,女高音,2017-08-08
3250829,"Dvarionas, Balys",迪瓦利欧纳斯,,1904-1972,拉托维亚,作曲,nan,2017-08-08
3250830,"Dvořák, Antonín",德沃札克,,1841-1904,捷克,作曲,nan,2017-08-08
3250831,"Dyens, Roland",迪恩斯,,1955-,突尼西亚,吉他；作曲,nan,2017-08-08
3250832,"Dyson, George",戴森,,1883-1964,英国,作曲,nan,2017-08-08
3250833,"Dzerzhinsky, Ivan",翟金斯基,,1909-1978,俄国,作曲,nan,2017-08-08
3250834,"Dzubay, David",迪祖贝,,1964-,美国,作曲,nan,2017-08-08
3250835,"Eadie, Noël",伊迪,,1901-1956,英国（苏格兰）,声乐,女高音,2017-08-08
3250836,"Eames, Emma",伊姆丝,,1865-1952,美国,声乐,女高音,2017-08-08
3250837,"Easdale, Brian",伊斯代尔,,1909-1995,英国,小提琴；作曲,nan,2017-08-08
3250838,"Eastman, George",伊士曼,,1854-1932,美国,音乐教育赞助人,nan,2017-08-08
3250839,"Easton, Florence",伊丝顿,,1882-1955,英国,声乐,女高音,2017-08-08
3250840,"Eastwood, Thomas",伊士伍德,,1922-1999,英国,作曲,nan,2017-08-08
3250841,"Eatock, Colin",伊托克,,1958-,加拿大,作曲,nan,2017-08-08
3250842,"Eben, Petr",艾本,,1929-2007,捷克,作曲；钢琴,nan,2017-08-08
3250843,"Eberl, Anton",艾贝尔,,1765-1807,奥地利,作曲；钢琴,nan,2017-08-08
3250844,"Eberlin, Johann Ernst",艾贝林,,1702-1762,德国,作曲,nan,2017-08-08
3250845,"Eccard, Johannes","艾卡特,约翰尼斯",,1553-1611,德国,作曲,nan,2017-08-08
3250846,"Eccles, Henry","艾可斯,亨利",,1670-1742,英国,作曲,nan,2017-08-08
3250847,"Eccles, John","艾可斯,约翰",,1668-1735,英国,小提琴；作曲,nan,2017-08-08
3250848,"Eccles, Solomon","艾可斯,所罗门",,1618-1683,英国,作曲,nan,2017-08-08
3250849,"Eckard, Johann Gottfried","艾卡特,约翰哥特弗利德",,1735-1809,德国,作曲,nan,2017-08-08
3250850,"Eckerberg, Sixten",艾克堡,,1909-1991,瑞典,指挥；钢琴；作曲,nan,2017-08-08
3250851,"Eckhardt-Gramatté, Sophie-Carmen",艾卡特－葛兰玛特,,1899-1974,加拿大,作曲,俄裔,2017-08-08
3250852,"Eddy, Nelson",艾迪,,1901-1967,美国,声乐,男中音,2017-08-08
3250853,"Edelmann, Jean-Frédéric (Johan-Fredreric)","艾德曼,尚－弗列德利克",,1749-1794,法国,作曲,nan,2017-08-08
3250854,"Edelmann, Otto","艾德曼,欧托",,1917-2003,奥地利,声乐,男低音,2017-08-08
3250855,"Edgerton, Mike",艾格顿,,1961-,美国,作曲,nan,2017-08-08
3250856,"Edlin, Paul Max",艾德林,,1963-,英国,作曲,nan,2017-08-08
3250857,"Edmunds, John",艾德蒙兹,,1913-1986,美国,作曲；音乐学,nan,2017-08-08
3250858,"Edo, Kyoko",江户京子,,1937-,日本,钢琴；音乐教育,nan,2017-08-08
3250859,"Edvina, Marie-Louise",艾薇娜,,1878-1948,加拿大,声乐,女高音,2017-08-08
3250860,"Edwards, Michael","艾德华,麦可",,1968-,英国,作曲,nan,2017-08-08
3250861,"Edwards, Richard","艾德华,理查",,1523-1566,英国,作曲,nan,2017-08-08
3250862,"Edwards, Ross","艾德华,罗斯",,1943-,澳大利亚,作曲,nan,2017-08-08
3250863,"Egge, Klaus",艾格,,1906-1979,挪威,作曲,nan,2017-08-08
3250864,"Eggen, Arne",艾根,,1881-1955,挪威,作曲；管风琴,nan,2017-08-08
3250865,"Eggert, Joachim Nikolas","艾格特,姚阿幸尼可拉斯",,1779-1813,瑞典,作曲,nan,2017-08-08
3250866,"Eggert, Moritz","艾格特,摩利兹",,1965-,德国,作曲,nan,2017-08-08
3250867,"Egk, Werner",艾格科,,1901-1983,德国,作曲,nan,2017-08-08
3250868,"Ehlers, Alice",艾莱丝,,1887-1981,美国,大键琴,奥裔,2017-08-08
3250869,"Ehrling, Sixten",艾尔林,,1918-2005,瑞典,指挥,nan,2017-08-08
3250870,"Eichberg, Søren Nils",艾希贝尔格,,1973-,德国,作曲、指挥,nan,2017-08-08
3250871,"Eichheim, Henry",艾希海姆,,1870-1942,美国,作曲；小提琴,nan,2017-08-08
3250872,"Eichner, Ernst",艾希纳,,1740-1777,德国,作曲；低音管,nan,2017-08-08
3250873,"Eicker, Edward",艾可,,1975-,美国,作曲,nan,2017-08-08
3250874,"Eijsackers, Hans",艾加克斯,,1967-,荷兰,作曲,nan,2017-08-08
3250875,"Eilenberg, Richard",艾连堡,,1848-1927,奥地利,作曲,nan,2017-08-08
3250876,"Eimert, Herbert",艾麦特,,1897-1972,德国,作曲；音乐理论,nan,2017-08-08
3250877,"Einem, Gottfried von",艾能,,1918-1996,奥地利,作曲,nan,2017-08-08
3250878,"Einstein, Alfred",艾因斯坦,,1880-1952,美国,音乐学,德裔,2017-08-08
3250879,"Eisenberg, Maurice",艾森堡,,1900-1972,美国,大提琴,德裔,2017-08-08
3250880,"Eisler, Hanns",艾斯勒,,1898-1962,德国,作曲,nan,2017-08-08
3250881,"Eitner, Robert",艾特纳,,1832-1905,德国,音乐学,nan,2017-08-08
3250882,"Ek, Gunnar",艾克,,1900-1981,瑞典,作曲；大提琴,nan,2017-08-08
3250883,"Elder, Mark",艾尔德,,1947-,英国,指挥；低音管,nan,2017-08-08
3250884,"Eldering, Klaas",艾德令,,1951-,荷兰,作曲,nan,2017-08-08
3250885,"Element, Ernest",艾勒门特,,1909-,英国,小提琴,nan,2017-08-08
3250886,"Elfman, Danny",艾夫曼,,1953-,美国,作曲,nan,2017-08-08
3250887,"Elgar, Edward",艾尔加,,1857-1934,英国,作曲,nan,2017-08-08
3250888,"Elia, Marios Joannou",艾利亚,,1978-,塞普勒斯,作曲,nan,2017-08-08
3250889,"Elinson, Iso",艾林森,,1907-1964,英国,钢琴,俄裔,2017-08-08
3250890,"Elizalde, Federico",艾利萨德,,1907-1979,西班牙,作曲；指挥,nan,2017-08-08
3250891,"Elkana, Amos",艾卡纳,,1967-,美国,作曲,nan,2017-08-08
3250892,"Elleguard, France Marguerite",艾莱瓜,,1913-1999,瑞典,钢琴,nan,2017-08-08
3250893,"Ellen, Jane",艾伦,,1956-,美国,作曲,nan,2017-08-08
3250894,"Eller, Heino",艾勒,,1887-1970,爱沙尼亚,作曲,nan,2017-08-08
3250895,"Elling, Catharinus",艾林,,1858-1942,挪威,作曲,nan,2017-08-08
3250896,"Ellinger, Desiree",艾琳洁,,1894-1951,英国,声乐,女高音,2017-08-08
3250897,"Ellington, Edward K.""Duke""",艾灵顿,,1899-1974,美国,作曲；钢琴；爵士乐,nan,2017-08-08
3250898,"Elliott, Jonathan",艾略特,,1962-,美国,作曲,nan,2017-08-08
3250899,"Ellis, David",艾利斯,,1933-,英国,作曲,nan,2017-08-08
3250900,"Ellmenreich, Alvert",艾尔门来希,,1816-1905,德国,作曲,nan,2017-08-08
3250901,"Elman, Mischa",艾尔曼,,1891-1967,俄国,小提琴,nan,2017-08-08
3250902,"Elmendorff, Karl",艾门朵夫,,1891-1962,德国,指挥,nan,2017-08-08
3250903,"Eloy, Jean-Claude",艾洛瓦,,1938-,法国,作曲,nan,2017-08-08
3250904,"Elsner, Joseph",艾尔斯纳,,1769-1854,波兰,作曲,nan,2017-08-08
3250905,"Elson, Louis",艾尔森,,1848-1920,美国,音乐著作,nan,2017-08-08
3250906,"Elwell, Herbert",艾威尔,,1898-1974,美国,作曲；乐评,nan,2017-08-08
3250907,"Elwes, Gervase",艾威斯,,1866-1921,英国,声乐,男高音,2017-08-08
3250908,"Emborg, Jens Laurson",恩博,,1876-1957,丹麦,作曲,nan,2017-08-08
3250909,"Emmanuel, Maurice",埃玛纽耶尔,,1862-1938,法国,作曲；音乐学,nan,2017-08-08
3250910,"Emmett, Daniel Decatur",艾梅特,,1815-1904,美国,作曲,nan,2017-08-08
3250911,"Enesco, Georges[ Enescu, Geoge ]",艾内斯科,,1881-1955,罗马尼亚,小提琴；作曲,nan,2017-08-08
3250912,"Engel, Carl",恩格尔,,1818-1882,德国,钢琴,nan,2017-08-08
3250913,"Engel, Claude",恩杰尔,,1948-,法国,作曲,nan,2017-08-08
3250914,"Englefield, Richard",恩格费尔德,,1937-,美国,作曲,nan,2017-08-08
3250915,"Englund, Einar Sven",恩格伦德,,1916-1999,芬兰,作曲,nan,2017-08-08
3250916,"Enkoji, Masahiko",圆光寺雅彦,,1954-,日本,指挥,nan,2017-08-08
3250917,"Enna, August",恩纳,,1859-1939,丹麦,小提琴,nan,2017-08-08
3250918,"Ennemond, Gaultier le Vieux",恩纳蒙,,1575-80-1651,法国,作曲,nan,2017-08-08
3250919,"Entremont, Philippe",恩特蒙,,1934-,法国,钢琴,nan,2017-08-08
3250920,"Eötvös, Peter",艾厄特沃斯,,1944-,匈牙利,作曲,nan,2017-08-08
3250921,"Eppert, Carl",伊普特,,1882-1961,美国,指挥；作曲,nan,2017-08-08
3250922,"Epstein, Julius",艾布斯坦,,1832-1926,奥地利,钢琴,nan,2017-08-08
3250923,"Erb, Donald James","艾尔布,唐纳‧詹姆士",,1927-2008,美国,作曲,nan,2017-08-08
3250924,"Erb, Karl","艾尔布,卡尔",,1877-1958,德国,声乐,男高音,2017-08-08
3250925,"Erbse, Heimo",艾尔布瑟,,1924-2005,德国,作曲,nan,2017-08-08
3250926,"Erede, Alberto",艾雷德,,1909-2001,义大利,指挥,nan,2017-08-08
3250927,"Erickson, Robert",艾瑞克森,,1917-1997,美国,作曲,nan,2017-08-08
3250928,"Erkelt, Ferenc",艾尔凯,,1810-1893,匈牙利,作曲；指挥,nan,2017-08-08
3250929,"Erlanger, Camille",艾朗杰,,1863-1919,法国,作曲,nan,2017-08-08
3250930,"Erlebach, Philipp Heinrich",艾勒巴赫,,1657-1714,德国,作曲,nan,2017-08-08
3250931,"Erlih, Devy",艾利希,,1928-2012,法国,小提琴,nan,2017-08-08
3250932,"Ernst, Heinrich Wilhelm",恩斯特,,1814-1865,捷克,小提琴；作曲,nan,2017-08-08
3250933,"Eschenbach, Christoph",艾森巴赫,,1940-,德国,钢琴；指挥,nan,2017-08-08
3250934,"Escher, Rudolf",艾舍,,1912-1980,荷兰,作曲,nan,2017-08-08
3250935,"Escobar, Luis Antonio",艾斯哥巴尔,,1925-1993,哥伦比亚,作曲,nan,2017-08-08
3250936,"Escudero, Francisco",艾斯库德罗,,1912-2002,西班牙,作曲,nan,2017-08-08
3250937,"Eshpay, Andrey",艾希拜,,1925-,俄国,作曲,nan,2017-08-08
3250938,"Esnaola, Juan Pedro",艾斯瑙拉,,1808-1878,阿根廷,作曲,nan,2017-08-08
3250939,"Esplá, Oscar",艾斯普拉,,1886-1976,西班牙,作曲,nan,2017-08-08
3250940,"Espoile, Raúl",艾斯珀伊列,,1889-1958,阿根廷,作曲,nan,2017-08-08
3250941,"Esposito, Michele",艾斯波西托,,1855-1929,义大利,钢琴；指挥,nan,2017-08-08
3250942,"Esquivel, Juan Barahona de",艾斯奇维尔,,1560-after 1623,西班牙,作曲,nan,2017-08-08
3250943,"Essipoff, Annette",艾西波芙,,1851-1914,俄国,钢琴,nan,2017-08-08
3250944,"Essl, Karlheinz",艾瑟,,1960-,奥地利,作曲,nan,2017-08-08
3250945,"Estrada, Carlos",艾斯特拉达,,1909-1970,乌拉圭,作曲；指挥,nan,2017-08-08
3250946,"Etkin, Mariano",艾特金,,1943-,阿根廷,作曲,nan,2017-08-08
3250947,"Etler, Alvin",艾特勒,,1913-1973,美国,作曲；双簧管,nan,2017-08-08
3250948,"Evangelisti, Franco",艾宛杰利斯提,,1926-1980,义大利,作曲,nan,2017-08-08
3250949,"Evans, David","伊文斯,大卫",,1874-1948,英国,作曲,nan,2017-08-08
3250950,"Evans, David Emlyn","伊文斯,恩林",,1843-1913,英国,音乐著作；作曲,nan,2017-08-08
3250951,"Evans, Edwin (i)","伊文斯一世,艾德文",,1844-1923,英国,管风琴；著作,nan,2017-08-08
3250952,"Evans, Edwin (ii)","伊文斯二世,艾德文",,1874-1945,英国,音乐著作,nan,2017-08-08
3250953,"Evans, Francois","伊文斯,法郎索瓦",,1965-,英国,作曲,nan,2017-08-08
3250954,"Evans, Geraint","伊文斯,杰伦特",,1922-1992,英国,声乐,男中音,2017-08-08
3250955,"Even, Pierre",艾文,,1946-,德国,作曲,nan,2017-08-08
3250956,"Everhartz, Jury",艾维尔哈兹,,1971-,德国,作曲,nan,2017-08-08
3250957,"Ewald, Victor",艾瓦德,,1860-1935,俄国,作曲,nan,2017-08-08
3250958,"Ewers, Tim",艾威尔斯,,1958-,英国,作曲,nan,2017-08-08
3250959,"Expert, Henry",艾克斯培,,1863-1952,法国,音乐学,nan,2017-08-08
3250960,"Eybler, Joseph Edler von",艾布勒,,1765-1846,奥地利,作曲,nan,2017-08-08
3250961,"Eysler, Edmund",艾斯勒,,1874-1949,奥地利,作曲,nan,2017-08-08
3250962,"Ezaki, Masako",江崎昌子,,1970-,日本,钢琴,nan,2017-08-08
3250963,"Faccio, Franco",法丘,,1840-1891,义大利,指挥；作曲,nan,2017-08-08
3250964,"Fachiri, Adila",法琪莉,,1886-1962,匈牙利,小提琴,nan,2017-08-08
3250965,"Fagan, Gideon",费根,,1904-1980,南非,指挥；作曲,nan,2017-08-08
3250966,"Fakhradov, Zaur",法克拉朵夫,,1965-,亚塞拜然,作曲,nan,2017-08-08
3250967,"Falconieri, Andrea",法可涅里,,1585/6-1656,义大利,作曲,nan,2017-08-08
3250968,"Falkner, Keith",佛克纳,,1900-1994,英国,声乐,男低音,2017-08-08
3250969,"Fall, Leo",法尔,,1873-1925,奥地利,作曲,nan,2017-08-08
3250970,"Falla, Manuel de",法雅,,1876-1946,西班牙,作曲,nan,2017-08-08
3250971,"Fampas, Dimitri",范帕斯,,1921-1996,希腊,作曲；吉他,nan,2017-08-08
3250972,"Fanshawe, David",范晓,,1942-,英国,作曲,nan,2017-08-08
3250973,"Fantini, Girolamo",范悌尼,,1600-1675,义大利,作曲,nan,2017-08-08
3250974,"Faraday, Philip Michael",法拉代,,1876-1944,英国,作曲,nan,2017-08-08
3250975,"Farina, Carlo",法利纳,,1600-1640,义大利,小提琴；作曲,nan,2017-08-08
3250976,"Farinelli, (Carlo Broschi)",法里内利,,1705-1782,义大利,声乐,nan,2017-08-08
3250977,"Farjeon, Harry",法尔炯,,1878-1948,英国,作曲；著作,nan,2017-08-08
3250978,"Farkas, Ferenc","法卡斯,费伦次",,1905-2000,匈牙利,作曲,nan,2017-08-08
3250979,"Farkas, Ödön","法卡斯,厄登",,1952-1912,匈牙利,作曲,nan,2017-08-08
3250980,"Farmer, Henry George","法默,亨利乔治",,1882-1965,爱尔兰,音乐著作,nan,2017-08-08
3250981,"Farmer, John","法默,约翰",,1570-between 1591-1601,英国,作曲,nan,2017-08-08
3250982,"Farnaby, Giles","法纳比,吉尔斯",,1563-1640,英国,作曲,nan,2017-08-08
3250983,"Farnaby, Richard","法纳比,理查",,1594-?,英国,作曲,nan,2017-08-08
3250984,"Farnam, W.Lynnwood",法尔南,,1885-1930,加拿大,管风琴,nan,2017-08-08
3250985,"Farncombe, Charles",法恩康,,1919-2006,英国,指挥,nan,2017-08-08
3250986,"Farnon, Robert",法农,,1917-2005,加拿大,作曲；指挥,nan,2017-08-08
3250987,"Farrar, Geraldine",法拉,,1882-1967,美国,声乐,女高音,2017-08-08
3250988,"Farrenc-Dumont, Jeanne-Louise",法莲克－迪蒙,,1804-1875,法国,作曲,nan,2017-08-08
3250989,"Farwell, Arthur",法维尔,,1872-1952,美国,作曲,nan,2017-08-08
3250990,"Fasano, Renato",法撒诺,,1902-1979,义大利,指挥；钢琴；作曲,nan,2017-08-08
3250991,"Fasch, Carl Friedrich Christian","法许,卡尔",,1736-1800,德国,作曲,nan,2017-08-08
3250992,"Fasch, Johann Friedrich","法许,约翰",,1688-1758,德国,作曲,nan,2017-08-08
3250993,"Fauré, Gabriel",佛瑞,,1845-1924,法国,作曲；管风琴,nan,2017-08-08
3250994,"Faure, Jean-Baptiste",佛尔,,1830-1914,法国,作曲；声乐,男中音,2017-08-08
3250995,"Faverman, John",法沃曼,,1957-,美国,作曲,nan,2017-08-08
3250996,"Fear, Arthur Edward",费尔,,1902-1973,英国,声乐,男中音,2017-08-08
3250997,"FeBland, Jonathan",费布蓝,,1960-,英国,作曲,nan,2017-08-08
3250998,"Feinberg, Samuel",芬伯格,,1890-1962,俄国,钢琴,nan,2017-08-08
3250999,"Feldman, Morton",费德曼,,1926-1987,美国,作曲,nan,2017-08-08
3251000,"Fellows, Edmund Horace",费洛斯,,1870-1951,英国,音乐学,nan,2017-08-08
3251001,"Feltkamp, Johannes",费特坎,,1896-1962,荷兰,长笛；指挥,nan,2017-08-08
3251002,"Felton, William",费尔顿,,1715-1769,英国,管风琴；作曲,nan,2017-08-08
3251003,"Felzer, Oleg",费尔泽,,1939-1998,亚塞拜然,作曲,nan,2017-08-08
3251004,"Fenby, Eric",芬毕,,1906-1997,英国,作曲,nan,2017-08-08
3251005,"Fennelly, Brian",芬内利,,1937-,美国,作曲,nan,2017-08-08
3251006,"Feo, Francesco",费欧,,1691-1761,义大利,作曲,nan,2017-08-08
3251007,"Ferencsik, János",费伦契克,,1907-1984,匈牙利,指挥,nan,2017-08-08
3251008,"Ferguson, Howard",费格森,,1908-1999,爱尔兰,作曲,nan,2017-08-08
3251009,"Ferko, Frank",费可,,1950-,美国,作曲,nan,2017-08-08
3251010,"Fernandez, Gaspar","费南德兹,加斯帕",,1570-1629,葡萄牙,作曲,nan,2017-08-08
3251011,"Fernandez, Maria Antonia",费南黛丝,,1751-1787,西班牙,声乐,nan,2017-08-08
3251012,"Fernandez, Oscar",费南德斯,,1897-1948,巴西,作曲,nan,2017-08-08
3251013,"Ferneyhough, Brian",费尼豪,,1943-,英国,作曲,nan,2017-08-08
3251014,"Fernström, John",费恩史壮,,1897-1961,瑞典,作曲,nan,2017-08-08
3251015,"Ferrabosco, Alfonso I",费拉伯斯可一世,,1543-1588,义大利,作曲,nan,2017-08-08
3251016,"Ferrabosco, Alfonso II",费拉伯斯可二世,,1575-1628,义大利,作曲,nan,2017-08-08
3251017,"Ferrara, Franco",费拉拉,,1911-1985,义大利,作曲,nan,2017-08-08
3251018,"Ferrari, Fabrizio",费拉利，法布利吉欧,,1971-,义大利,作曲,nan,2017-08-08
3251019,"Ferrari, Gustave","费拉利,古斯塔夫",,1872-1948,瑞士,作曲,nan,2017-08-08
3251020,"Ferrari, Luc","费拉利,吕克",,1929-2005,法国,作曲,nan,2017-08-08
3251021,"Ferras, Christian",费拉,,1933-1982,法国,小提琴,nan,2017-08-08
3251022,"Ferrero, Willy",费雷洛,,1906-1954,义大利,指挥；作曲,nan,2017-08-08
3251023,"Ferrier, Kathleen",费里尔,,1912-1953,英国,声乐,女低音,2017-08-08
3251024,"Ferroud, Pierre-Octave",费鲁,,1900-1936,法国,作曲,nan,2017-08-08
3251025,"Fesca, Friedrich Ernst",费斯卡,,1789-1826,德国,作曲,nan,2017-08-08
3251026,"Fesch, Willem de",费许,,1687-1757,荷兰,作曲,nan,2017-08-08
3251027,"Festetics, Leó",费斯特悌克斯,,1800-1884,匈牙利,作曲,nan,2017-08-08
3251028,"Festing, Michael",费斯汀,,1680-1752,英国,小提琴；作曲,nan,2017-08-08
3251029,"Fétis, Francçois-Joseph",费悌斯,,1784-1871,比利时,音乐学；作曲；管风琴,nan,2017-08-08
3251030,"Feuermann, Emmanuel",佛耶曼,,1902-1942,奥地利,大提琴,nan,2017-08-08
3251031,"Février, Henri",费弗里耶,,1875-1957,法国,作曲,nan,2017-08-08
3251032,"Fibich, Zdenek",费毕希,,1850-1900,捷克,作曲,nan,2017-08-08
3251033,"Ficher, Jacobo",费舍尔,,1896-1978,俄国,作曲；小提琴,nan,2017-08-08
3251034,"Fickenscher, Arthur",费肯雪,,1871-1954,美国,钢琴；作曲,nan,2017-08-08
3251035,"Ficker, Rudolf von",费克尔,,1886-1954,奥地利,音乐学,nan,2017-08-08
3251036,"Fidemraizer, Sergio",费登雷策,,1958-,阿根廷,作曲,nan,2017-08-08
3251037,"Fiedler, Arthur","费德勒,阿瑟",,1894-1979,美国,指挥,nan,2017-08-08
3251038,"Fiedler, Max","费德勒,马克斯",,1859-1939,德国,指挥；作曲,nan,2017-08-08
3251039,"Field, John",费尔德,,1782-1837,爱尔兰,钢琴；作曲,nan,2017-08-08
3251040,"Field-Hyde, Margaret",费尔德－海德,,1905-1995,英国,小提琴；声乐,女高音,2017-08-08
3251041,"Fields, Matthew",费尔兹,,1961-,美国,作曲,nan,2017-08-08
3251042,"Fila, Jan",费拉,,1982-,捷克,作曲,nan,2017-08-08
3251043,"Fillunger, Marie",费隆格,,1850-1930,奥地利,声乐,女高音,2017-08-08
3251044,"Filtz, Anton",费尔次,,1733-1760,德国,作曲；大提琴,nan,2017-08-08
3251045,"Finch, Steven",芬奇,,1959-,美国,作曲,nan,2017-08-08
3251046,"Finck, Heinrich","芬克,海因利希",,1445-1527,德国,作曲,nan,2017-08-08
3251047,"Finck, Herman","芬克,赫曼",,1872-1939,英国,作曲；指挥,nan,2017-08-08
3251048,"Fine, Irving","范因,厄文",,1914-1962,美国,作曲,nan,2017-08-08
3251049,"Fine, Vivian","范因,薇薇安",,1913-2000,美国,作曲,nan,2017-08-08
3251050,"Finger, Gottfried",芬格,,1660-1730,捷克,作曲,nan,2017-08-08
3251051,"Finney, Ross Lee",芬尼,,1906-1997,美国,作曲,nan,2017-08-08
3251052,"Finnissy, Michael",芬尼西,,1946-,英国,作曲,nan,2017-08-08
3251053,"Finsterer, Mary",芬斯特尔,,1962-,澳大利亚,作曲,nan,2017-08-08
3251054,"Finzi, Gerald",芬济,,1901-1956,英国,作曲,nan,2017-08-08
