ID,英文名稱,中文名稱,圖片,作曲家,更新日期
3193188,Il Barbiere di Siviglia,塞维里亚的理发师,,"Rossini, Gioacchino",2017-07-28
3193189,Il Turco in Italia,义大利的土耳其人,,"Rossini, Gioacchino",2017-07-28
3193190,La Cenerentola,灰姑娘,,"Rossini, Gioacchino",2017-07-28
3193191,L'Italiana in Algeri,阿尔及利亚的义大利女郎,,"Rossini, Gioacchino",2017-07-28
3193192,Semiramide,赛米拉米德,,"Rossini, Gioacchino",2017-07-28
3193193,Demetrio e Polibio,德美特利欧和波利毕欧,,"Rossini, Gioacchino",2017-07-28
3193194,La cambiale di matrimonio,交换的婚姻,,"Rossini, Gioacchino",2017-07-28
3193195,L'equivoco stravagante,奇异的误解,,"Rossini, Gioacchino",2017-07-28
3193196,L'inganno felice,幸福的欺骗,,"Rossini, Gioacchino",2017-07-28
3193197,"Ciro in Babilonia, ossia La caduta di Baldassare",在巴比伦的奇罗，或巴德萨雷的毁灭,,"Rossini, Gioacchino",2017-07-28
3193198,La scala di seta,绢丝楼梯,,"Rossini, Gioacchino",2017-07-28
3193199,La pietra del paragone,试金石,,"Rossini, Gioacchino",2017-07-28
3193200,"L'occasione fa il ladro, ossia Il cambio della valigia",偷天换日,,"Rossini, Gioacchino",2017-07-28
3193201,"Il signor Bruschino, ossia Il figlio per azzardo",布鲁斯奇诺先生，或冒充之子,,"Rossini, Gioacchino",2017-07-28
3193202,Tancredi,唐克雷第,,"Rossini, Gioacchino",2017-07-28
3193203,Aureliano in Palmira,在帕米拉的奥雷里亚诺,,"Rossini, Gioacchino",2017-07-28
3193204,Torvaldo e Dorliska,托瓦多和多莉丝卡,,"Rossini, Gioacchino",2017-07-28
3193205,"La gazzetta, ossia Il matrimonio per concorso",征婚启事，或竞争的婚姻,,"Rossini, Gioacchino",2017-07-28
3193206,"Otello, ossia Il Moro di Venezia",奥泰罗,,"Rossini, Gioacchino",2017-07-28
3193207,La gazza ladra,鹊贼,,"Rossini, Gioacchino",2017-07-28
3193208,Armida,阿米达,,"Rossini, Gioacchino",2017-07-28
3193209,"Adelaide di Borgogna, ossia Ottone, re d'Italia",波哥尼亚的阿德莱德，或义大利国王欧托内,,"Rossini, Gioacchino",2017-07-28
3193210,Mosè in Egitto,在埃及的摩西,,"Rossini, Gioacchino",2017-07-28
3193211,"Adina, ossia Il califfo di Bagdad",阿蒂娜，或巴格达的王,,"Rossini, Gioacchino",2017-07-28
3193212,Ricciardo e Zoraide,李奇阿多和佐莱伊德,,"Rossini, Gioacchino",2017-07-28
3193213,Ermione,艾缪内,,"Rossini, Gioacchino",2017-07-28
3193214,Eduardo e Cristina,爱德华和克莉丝提娜,,"Rossini, Gioacchino",2017-07-28
3193215,La donna del lago,湖上女郎,,"Rossini, Gioacchino",2017-07-28
3193216,"Bianca e Falliero, ossia Il consiglio dei tre",比安卡和法里耶罗，或三个忠告,,"Rossini, Gioacchino",2017-07-28
3193217,Maometto II,毛梅多二世,,"Rossini, Gioacchino",2017-07-28
3193218,Zelmira,柴米拉,,"Rossini, Gioacchino",2017-07-28
3193219,"Il viaggio a Reims, ossia L'albergo del Giglio d'Oro",莱姆斯之旅，或吉里欧的客栈,,"Rossini, Gioacchino",2017-07-28
3193220,L'assedio di Corinto (Le siège de Corinthe),哥林多被围,,"Rossini, Gioacchino",2017-07-28
3193221,"Moïse et Pharaon, ou Le passage de la mer rouge",摩西和法老，或摩西过红海,,"Rossini, Gioacchino",2017-07-28
3193222,Le comte Ory,奥里伯爵,,"Rossini, Gioacchino",2017-07-28
3193223,Samson et Dalila,参孙和达莉拉,,"Saint-Saëns, Camille",2017-07-28
3193224,Erwartung,期待,,"Schönberg, Arnold",2017-07-28
3193225,Moses und Aron,摩西与亚伦,,"Schönberg, Arnold",2017-07-28
3193226,Lady Macbeth Mtsenskogo Uyezda,慕真斯克郡的马克白夫人,,"Shostakovitch, Dmitri",2017-07-28
3193227,Nose,鼻子,,"Shostakovitch, Dmitri",2017-07-28
3193228,Prodaná nevěsta,被出卖的新娘,,"Smetana, Bedrich",2017-07-28
3193229,Der Zigeunerbaron,吉普赛男爵,,"Strauss, Johann",2017-07-28
3193230,Die Fledermaus,蝙蝠,,"Strauss, Johann",2017-07-28
3193231,Wiener Blut,维也纳气质,,"Strauss, Johann",2017-07-28
3193232,Oedipus Rex,伊底帕斯王,,"Stravinsky, Igor",2017-07-28
3193233,The Rake's Progress,浪子的历程,,"Stravinsky, Igor",2017-07-28
3193234,Boccaccio,薄伽丘,,"Suppe, Franz von",2017-07-28
3193235,Die schöne Galatea,美丽的嘉拉蒂雅,,"Suppe, Franz von",2017-07-28
3193236,Evgeny Onegin,尤金˙奥涅金,,"Tchaikovsky, Piotr Ilytch",2017-07-28
3193237,Jeanne d'Arc,圣女贞德,,"Tchaikovsky, Piotr Ilytch",2017-07-28
3193238,Pikovaya Dama,黑桃皇后,,"Tchaikovsky, Piotr Ilytch",2017-07-28
3193239,Pimpinone,平皮诺内,,"Telemann, Georg Philipp",2017-07-28
3193240,Mignon,迷娘,,"Thomas, Ambroise",2017-07-28
3193241,Attila,阿提拉,,"Verdi, Giuseppe",2017-07-28
3193242,Ernani,艾纳尼,,"Verdi, Giuseppe",2017-07-28
3193243,I Lombardi alla prima Crociata,第一次十字军东征的隆巴第人,,"Verdi, Giuseppe",2017-07-28
3193244,I Masnadieri,强盗,,"Verdi, Giuseppe",2017-07-28
3193245,Macbeth,马克白,,"Verdi, Giuseppe",2017-07-28
3193246,Nabucco,纳布果,,"Verdi, Giuseppe",2017-07-28
3193247,Un Giorno di Regno,一日国王,,"Verdi, Giuseppe",2017-07-28
3193248,Aida,阿伊达,,"Verdi, Giuseppe",2017-07-28
3193249,Don Carlo,唐˙卡罗,,"Verdi, Giuseppe",2017-07-28
3193250,Falstaff,法斯塔夫,,"Verdi, Giuseppe",2017-07-28
3193251,I Vespri Siciliani,西西里晚祷,,"Verdi, Giuseppe",2017-07-28
3193252,Il Trovatore,游唱诗人,,"Verdi, Giuseppe",2017-07-28
3193253,La Forza del Destino,命运之力,,"Verdi, Giuseppe",2017-07-28
3193254,La Traviata,茶花女,,"Verdi, Giuseppe",2017-07-28
3193255,Luisa Miller,露易莎˙米勒,,"Verdi, Giuseppe",2017-07-28
3193256,Otello,奥泰罗,,"Verdi, Giuseppe",2017-07-28
3193257,Rigoletto,弄臣,,"Verdi, Giuseppe",2017-07-28
3193258,Simon Boccanegra,西蒙˙玻卡内格拉,,"Verdi, Giuseppe",2017-07-28
3193259,Stiffelio,斯第费里欧,,"Verdi, Giuseppe",2017-07-28
3193260,Un Ballo in Maschera,假面舞会,,"Verdi, Giuseppe",2017-07-28
3193261,Oberto,奥伯多,,"Verdi, Giuseppe",2017-07-28
3193262,I due Foscari,父子情深,,"Verdi, Giuseppe",2017-07-28
3193263,Giovanna d'Arco,圣女贞德,,"Verdi, Giuseppe",2017-07-28
3193264,Alzira,阿奇拉,,"Verdi, Giuseppe",2017-07-28
3193265,Jérusalem,耶路萨冷,,"Verdi, Giuseppe",2017-07-28
3193266,Il corsaro,海盗,,"Verdi, Giuseppe",2017-07-28
3193267,La battaglia di Legnano,雷尼亚诺战役,,"Verdi, Giuseppe",2017-07-28
3193268,Les vêpres siciliennes,西西里晚祷,,"Verdi, Giuseppe",2017-07-28
3193269,Aroldo (A major revision of Stiffelio),阿洛多,,"Verdi, Giuseppe",2017-07-28
3193270,Das Rheingold,莱茵的黄金,,"Wagner, Richard",2017-07-28
3193271,Der fliegende Holländer,漂泊的荷兰人,,"Wagner, Richard",2017-07-28
3193272,Der Ring des Niebelungen,尼贝龙指环,,"Wagner, Richard",2017-07-28
3193273,Die Feen,仙女,,"Wagner, Richard",2017-07-28
3193274,Die Meistersinger von Nürnberg,纽伦堡的名歌手,,"Wagner, Richard",2017-07-28
3193275,Die Walküre,女武神,,"Wagner, Richard",2017-07-28
3193276,Götterdämmerung,诸神的黄昏,,"Wagner, Richard",2017-07-28
3193277,Lohengrin,罗恩格林,,"Wagner, Richard",2017-07-28
3193278,Parsifal,帕西法尔,,"Wagner, Richard",2017-07-28
3193279,Rienzi,黎恩济,,"Wagner, Richard",2017-07-28
3193280,Siegfried,齐格菲,,"Wagner, Richard",2017-07-28
3193281,Tannhäuser,唐怀瑟,,"Wagner, Richard",2017-07-28
3193282,Tristan und Isolde,崔斯坦与伊索德,,"Wagner, Richard",2017-07-28
3193283,Der Freischütz,魔弹射手,,"Weber, Carl Maria von",2017-07-28
3193284,Euryanthe,欧丽安特,,"Weber, Carl Maria von",2017-07-28
3193285,Oberon,欧伯龙,,"Weber, Carl Maria von",2017-07-28
3193286,Die Macht der Liebe und des Weins,爱情与美酒,,"Weber, Carl Maria von",2017-07-28
3193287,Das (stumme) Waldmädchen,森林少女,,"Weber, Carl Maria von",2017-07-28
3193288,Rübezahl,森林精灵,,"Weber, Carl Maria von",2017-07-28
3193289,Peter Schmoll und seine Nachbarn,彼得舒摩和他的邻居,,"Weber, Carl Maria von",2017-07-28
3193290,Silvana,席瓦娜,,"Weber, Carl Maria von",2017-07-28
3193291,Indigo und die vierzig Räuber,因第戈与四十大盗,,"Strauss, Johann",2017-07-28
3193292,Der Karneval in Rom,罗马狂欢节,,"Strauss, Johann",2017-07-28
3193293,Cagliostro in Wien,卡里欧斯特在维也纳,,"Strauss, Johann",2017-07-28
3193294,Prinz Methusalem,梅杜撒冷王子,,"Strauss, Johann",2017-07-28
3193295,Blindekuh,捉迷藏,,"Strauss, Johann",2017-07-28
3193296,Das Spitzentuch der Königin,皇后的蕾丝披肩,,"Strauss, Johann",2017-07-28
3193297,Der lustige Krieg,欢乐战争,,"Strauss, Johann",2017-07-28
3193298,Lo frate 'nnamorato (The brother in love）,兄弟之爱,,"Pergolesi,  Giovanni Battista",2017-07-28
3193299,The Fairy-Queen,仙后,,"Purcell,  Henry",2017-07-28
3193300,The Indian Queen,印度皇后,,"Purcell,  Henry",2017-07-28
3193301,King Arthur,亚瑟王,,"Purcell,  Henry",2017-07-28
3193302,Hamlet,哈姆雷特,,"Thomas,  Ambroise",2017-07-28
3193303,Hippolyte et Aricie,伊伯利特与阿莉西,,"Rameau,  Jean-Philippe",2017-07-28
3193304,Castor et Pollux,卡斯托与波路克斯,,"Rameau,  Jean-Philippe",2017-07-28
3193305,Dardanus,达尔达奴斯,,"Rameau,  Jean-Philippe",2017-07-28
3193306,Zoroastre,索罗阿斯特,,"Rameau,  Jean-Philippe",2017-07-28
3193307,Les Boréades,波雷亚的子民,,"Rameau,  Jean-Philippe",2017-07-28
3193308,Platée,普拉蒂耶（天赐良缘）,,"Rameau,  Jean-Philippe",2017-07-28
3193309,Les Paladins,游侠骑士,,"Rameau,  Jean-Philippe",2017-07-28
