ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3238359,chromatic concord,变化协和和弦（弦）,,英,nan,2017-08-08
3238360,chromatic discord,变化不协和和弦（弦）,,英,nan,2017-08-08
3238361,chromatic harp,半音竖琴,,英,nan,2017-08-08
3238362,chromatic interval,变化音程,,英,nan,2017-08-08
3238363,chromatic minor scale,变化小音阶,,英,nan,2017-08-08
3238364,chromatic modulation,半音转调,,英,nan,2017-08-08
3238365,chromatic passing note,半音经过音,,英,nan,2017-08-08
3238366,chromatic progression,半音进行,,英,nan,2017-08-08
3238367,chromatic scale,半音音阶,,英,nan,2017-08-08
3238368,chromatic semitone,变化半音,,英,nan,2017-08-08
3238369,chromatic seventh,变化七和弦（弦）,,英,nan,2017-08-08
3238370,chromatic sign,变化记号,,英,nan,2017-08-08
3238371,chromatic triad,变化三和弦（弦）,,英,nan,2017-08-08
3238372,chromaticism,半音体系；半音风格；半音主义,,英,nan,2017-08-08
3238373,Chromatik {Ger.},半音体系；半音风格；半音主义,,德,nan,2017-08-08
3238374,chromatische Tonleiter {Ger.},半音音阶,,德,nan,2017-08-08
3238375,chromatisches Intervall {Ger.},变化音程,,德,nan,2017-08-08
3238376,chromatisme {Fr.},半音体系；半音风格；半音主义,,法,nan,2017-08-08
3238377,chronos protos {Gr.},古希腊音乐中时间与节奏的最小单位,,希,nan,2017-08-08
3238378,chrotta {Lat.},克罗塔琴,,拉,nan,2017-08-08
3238379,church cantata,教会清唱剧；教会康塔塔,,英,nan,2017-08-08
3238380,church choir,圣歌队,,英,nan,2017-08-08
3238381,church concerto,教会协奏曲,,英,nan,2017-08-08
3238382,church mode,教会调式,,英,nan,2017-08-08
3238383,church music,教会音乐,,英,nan,2017-08-08
3238384,church sonata,教会奏鸣曲,,英,nan,2017-08-08
3238385,chute {Fr.},下行倚音,,法,nan,2017-08-08
3238386,chûte {Fr.},下行倚音,,法,nan,2017-08-08
3238387,chyn,琴；古琴,,英,nan,2017-08-08
3238388,ciaccona {It.},夏康舞曲,,义,nan,2017-08-08
3238389,ciaramella {It.},萧姆管,,义,nan,2017-08-08
3238390,cibalom,扬琴｛东欧｝,,英,nan,2017-08-08
3238391,cibell,西贝尔曲式,,英,nan,2017-08-08
3238392,ciclo di liriche {It.},联篇歌曲,,义,nan,2017-08-08
3238393,ciclo {It.},连环；循环,,义,nan,2017-08-08
3238394,cilindro rotativo {It.},活塞,,义,nan,2017-08-08
3238395,cilindro {It.},活塞,,义,nan,2017-08-08
3238396,cimbal d'amour {Ger.},古钢琴,,德,nan,2017-08-08
3238397,cimbaletto {It.},铃鼓,,义,nan,2017-08-08
3238398,cimbalo,钹,,英,nan,2017-08-08
3238399,cimbalom,扬琴｛东欧｝,,英,nan,2017-08-08
3238400,cimbasso {It.},有键低音长号,,义,nan,2017-08-08
3238401,cinema organ,电影院风琴,,英,nan,2017-08-08
3238402,cinque pace,五步舞,,英,nan,2017-08-08
3238403,cinque pas,五步舞,,英,nan,2017-08-08
3238404,cinque pass,五步舞,,英,nan,2017-08-08
3238405,cinquième octave {Fr.},小字三点音｛音域｝,,法,nan,2017-08-08
3238406,cipher,故障音（风琴）,,英,nan,2017-08-08
3238407,ciphering,故障音（风琴）,,英,nan,2017-08-08
3238408,circle canon,回旋卡农,,英,nan,2017-08-08
3238409,circle of fifths,五度圈,,英,nan,2017-08-08
3238410,circle of fourths,四度圈,,英,nan,2017-08-08
3238411,circle of keys,调子圈,,英,nan,2017-08-08
3238412,circolo delle quinte {It.},五度圈,,义,nan,2017-08-08
3238413,circular canon,回旋卡农,,英,nan,2017-08-08
3238414,Cis {Ger.},升Ｃ,,德,nan,2017-08-08
3238415,Cisis {Ger.},重升C,,德,nan,2017-08-08
3238416,Cister {Ger.},西特琴,,德,nan,2017-08-08
3238417,cistre {Fr.},西特琴,,法,nan,2017-08-08
3238418,Cithare {Ger.},西特琴,,德,nan,2017-08-08
3238419,Cither {Ger.},西特琴,,德,nan,2017-08-08
3238420,cithern,西特琴,,英,nan,2017-08-08
3238421,citole,西托尔琴（中世纪鲁特琴）,,英,nan,2017-08-08
3238422,cittern,西特琴,,英,nan,2017-08-08
3238423,cittern pandora,班多拉琴,,英,nan,2017-08-08
3238424,civettando {It.},谄媚的；作态的,,义,nan,2017-08-08
3238425,clairon {Fr.},号角,,法,nan,2017-08-08
3238426,clappers,响板；拍板,,英,nan,2017-08-08
3238427,claquebois {Fr.},木琴,,法,nan,2017-08-08
3238428,claquette {Fr.},嘎嘎器；摇响器,,法,nan,2017-08-08
3238429,clarabel,柔笛声音栓（管风琴）,,英,nan,2017-08-08
3238430,clarabella,柔笛声音栓（管风琴）,,英,nan,2017-08-08
3238431,claribel flute,柔笛声音栓（管风琴）,,英,nan,2017-08-08
3238432,clarinet,单簧管,,英,nan,2017-08-08
3238433,clarinet family,单簧管家族,,英,nan,2017-08-08
3238434,clarinet flute,单簧管长笛音栓（管风琴）,,英,nan,2017-08-08
3238435,clarinet stop,单簧管音栓（管风琴）,,英,nan,2017-08-08
3238436,clarinette alto {Fr.},中音单簧管,,法,nan,2017-08-08
3238437,clarinette basse {Fr.},低音单簧管,,法,nan,2017-08-08
3238438,clarinette contralto {It.},降E调低音单簧管,,义,nan,2017-08-08
3238439,clarinette contrebasse {Fr.},倍低音单簧管,,法,nan,2017-08-08
3238440,clarinette d'amour {Fr.},柔音单簧管,,法,nan,2017-08-08
3238441,clarinette {Fr.},单簧管,,法,nan,2017-08-08
3238442,clarinetto contrabbasso {It.},倍低音单簧管,,义,nan,2017-08-08
3238443,clarinetto contralto {It.},中音单簧管,,义,nan,2017-08-08
3238444,clarinetto piccolo {It.},小单簧管,,义,nan,2017-08-08
3238445,clarinetto {It.},单簧管,,义,nan,2017-08-08
3238446,clarino {It.},高音小号｛古名｝；小号高音区,,义,nan,2017-08-08
3238447,clarion,克拉里昂小号；克拉里昂音栓（管风琴）,,英,nan,2017-08-08
3238448,clarone {It.},低音单簧管；中音单簧管；单簧管｛早期｝；小号｛中世纪｝,,义,nan,2017-08-08
3238449,clàrsach,竖琴（苏格兰，爱尔兰）,,英,nan,2017-08-08
3238450,classical,古典,,英,nan,2017-08-08
3238451,classical form,古典形式,,英,nan,2017-08-08
3238452,classicism,古典主义,,英,nan,2017-08-08
3238453,clausula,克劳苏拉（中世纪复音音乐终止式）,,英,nan,2017-08-08
3238454,clausula {Lat.},克劳苏拉（中世纪复音音乐终止式）,,拉,nan,2017-08-08
3238455,clave {Sp.},谱号,,西,nan,2017-08-08
3238456,clavecin à archet {Fr.},有弓键盘乐器,,法,nan,2017-08-08
3238457,clavecin de pédale {Fr.},踏瓣大键琴,,法,nan,2017-08-08
3238458,clavecin organisé {Fr.},复合键盘乐器,,法,nan,2017-08-08
3238459,clavecin vertical {Fr.},直立式大键琴,,法,nan,2017-08-08
3238460,clavecin {Fr.},大键琴,,法,nan,2017-08-08
3238461,clavemusicum omnitonum {Lat.},微分音大键琴,,拉,nan,2017-08-08
3238462,claves {Sp.},响棒,,西,nan,2017-08-08
3238463,Clavicembalo {Ger.},大键琴,,德,nan,2017-08-08
3238464,clavicembalo {It.},大键琴,,义,nan,2017-08-08
3238465,clavichord,古钢琴,,英,nan,2017-08-08
3238466,Clavichord {Ger.},古钢琴,,德,nan,2017-08-08
3238467,clavicor,克拉维号,,英,nan,2017-08-08
3238468,clavicorde {Fr.},古钢琴,,法,nan,2017-08-08
3238469,clavicordium {Lat.},古钢琴,,拉,nan,2017-08-08
3238470,clavicorno {It.},克拉维号,,义,nan,2017-08-08
3238471,clavicylinder,键盘玻璃琴,,英,nan,2017-08-08
3238472,clavicymbal,大键琴,,英,nan,2017-08-08
3238473,Clavicymbelpedal {Ger.},踏瓣大键琴,,德,nan,2017-08-08
3238474,clavicytherium {Lat.},直立式大键琴,,拉,nan,2017-08-08
3238475,clavier d'écho {Fr.},回声风琴,,法,nan,2017-08-08
3238476,Clavier Übung {Ger.},键盘曲集,,德,nan,2017-08-08
3238477,clavier {Fr.},键盘乐器,,法,nan,2017-08-08
3238478,Clavier {Ger.},钢琴；键盘乐器,,德,nan,2017-08-08
3238479,claviorgan,复合键盘乐器,,英,nan,2017-08-08
3238480,claviórgano {It.},复合键盘乐器,,义,nan,2017-08-08
3238481,claviorganum {It.},复合键盘乐器,,义,nan,2017-08-08
3238482,clé {Fr.},谱号,,法,nan,2017-08-08
3238483,clear flute,嘹亮笛音栓,,英,nan,2017-08-08
3238484,clef,谱号,,英,nan,2017-08-08
3238485,clef d'ut {Fr.},Ｃ谱号,,法,nan,2017-08-08
3238486,clef de baryton {Fr.},上低音谱号,,法,nan,2017-08-08
3238487,clef de basse profonde {Fr.},下低音谱号,,法,nan,2017-08-08
3238488,clef de basse {Fr.},低音谱号,,法,nan,2017-08-08
3238489,clef de fa {Fr.},Ｆ谱号,,法,nan,2017-08-08
3238490,clef de sol {Fr.},Ｇ谱号,,法,nan,2017-08-08
3238491,clef du violin {Fr.},小提琴谱号,,法,nan,2017-08-08
3238492,Clef G,G谱号,,法,nan,2017-08-08
3238493,clef {Fr.},谱号,,英˙法,nan,2017-08-08
3238494,cliquette {Fr.},响板；拍板,,法,nan,2017-08-08
3238495,cloche des tons {Fr.},音钟,,法,nan,2017-08-08
3238496,cloche {Fr.},钟,,法,nan,2017-08-08
3238497,cloches tubulaires {Fr.},管钟,,法,nan,2017-08-08
3238498,clog box,木鱼,,英,nan,2017-08-08
3238499,close,终止,,英,nan,2017-08-08
3238500,close cadence,大终止,,英,nan,2017-08-08
3238501,close canon,有终卡农,,英,nan,2017-08-08
3238502,close chord,密集和弦（弦）,,英,nan,2017-08-08
3238503,close fugue,紧凑复格,,英,nan,2017-08-08
3238504,close harmony,密集和声,,英,nan,2017-08-08
3238505,close imitation,紧模仿,,英,nan,2017-08-08
3238506,close position,密集位置,,英,nan,2017-08-08
3238507,closed pipe,闭管,,英,nan,2017-08-08
3238508,closing resolution,终止解决,,英,nan,2017-08-08
3238509,closing section,结束乐段,,英,nan,2017-08-08
3238510,cluster,音簇；音堆,,英,nan,2017-08-08
3238511,coach horn,邮号,,英,nan,2017-08-08
3238512,cobla {Sp.},柯布拉乐队,,西,nan,2017-08-08
3238513,Cobzǎ,柯不扎琴,,罗马尼亚,nan,2017-08-08
3238514,coda uncinata {It.},符尾,,义,nan,2017-08-08
3238515,coda {It.}{Fr.},尾声；尾奏,,义˙英˙法,nan,2017-08-08
3238516,codetta {It.},小尾声；小尾奏,,义,nan,2017-08-08
3238517,Codex Chigi,基吉抄本,,法,nan,2017-08-08
3238518,codex {Lat.}{Fr.},抄本,,拉˙英˙法,nan,2017-08-08
3238519,codice {It.},抄本,,义,nan,2017-08-08
3238520,cog rattle,齿轮嘎嘎器,,英,nan,2017-08-08
3238521,col arco {It.},用弓奏,,义,nan,2017-08-08
3238522,col canto {It.},配合歌唱,,义,nan,2017-08-08
3238523,col legno {It.},用弓背奏,,义,nan,2017-08-08
3238524,colascione {It.},柯拉兄内琴,,义,nan,2017-08-08
3238525,coll' ottava,加八度,,义,nan,2017-08-08
3238526,coll'arco {It.},用弓奏,,义,nan,2017-08-08
3238527,coll'ottava {It.},连八度奏,,义,nan,2017-08-08
3238528,colla parte {It.},配合主要声部,,义,nan,2017-08-08
3238529,colla punta dell'arco {It.},用弓尖部奏,,义,nan,2017-08-08
3238530,colla voce {It.},配合独唱声部,,义,nan,2017-08-08
3238531,collage {Fr.},拼贴,,法,nan,2017-08-08
3238532,collect,集祷经,,英,nan,2017-08-08
3238533,collegamento di accordi {It.},和弦连接,,义,nan,2017-08-08
3238534,collegium musicum {Lat.},音乐社团,,拉,nan,2017-08-08
3238535,collegium rorantistarum {Lat.},教堂唱诗班,,拉,nan,2017-08-08
3238536,colophony,松香,,英,nan,2017-08-08
3238537,coloration,色符记谱法；色彩装饰,,英,nan,2017-08-08
3238538,coloratura aria {It.},花腔咏唱调,,义,nan,2017-08-08
3238539,coloratura soprano {It.},华彩女高音；花腔女高音,,义,nan,2017-08-08
3238540,coloratura {It.},华彩；花腔,,义,nan,2017-08-08
3238541,colotomic structure,衔接式构造,,英,nan,2017-08-08
3238542,colour,音色,,英,nan,2017-08-08
3238543,coloured hearing,色彩听觉,,英,nan,2017-08-08
3238544,colpo {It.},击奏,,义,nan,2017-08-08
3238545,combination tone,混合音,,英,nan,2017-08-08
3238546,combined counterpoint,混合对位法,,英,nan,2017-08-08
3238547,combo,小爵士乐队,,英,nan,2017-08-08
3238548,come {It.},如同,,义,nan,2017-08-08
3238549,comédie-ballet {Fr.},喜剧芭蕾舞剧,,法,nan,2017-08-08
3238550,comes,答题；答句,,英,nan,2017-08-08
3238551,comes {Lat.},答句,,拉,nan,2017-08-08
3238552,comic opera,喜歌剧,,英,nan,2017-08-08
3238553,comiquement {Fr.},喜剧的；诙谐的,,法,nan,2017-08-08
3238554,comma {Fr.}{It.},音差,,英˙法˙义,nan,2017-08-08
3238555,comma sintonico {It.},共振音差,,义,nan,2017-08-08
3238556,Commedia dell'arte {It.},即兴喜剧,,义,nan,2017-08-08
3238557,commedia per musica {It.},拿波里喜歌剧,,义,nan,2017-08-08
3238558,commercial jazz,商业爵士乐,,英,nan,2017-08-08
3238559,common chord,普通和弦,,英,nan,2017-08-08
3238560,common meansure,四四拍子,,英,nan,2017-08-08
3238561,common pitch,共同音高,,英,nan,2017-08-08
3238562,common time,四四拍子,,英,nan,2017-08-08
3238563,Commune sanctorum {Lat.},诸圣节,,拉,nan,2017-08-08
3238564,communio {Lat.},领主咏,,拉,nan,2017-08-08
3238565,communion {Fr.},领主咏,,法,nan,2017-08-08
3238566,community singing,社团合唱,,英,nan,2017-08-08
3238567,comodo {It.},悠闲的；舒适的；轻松的；随便的；,,义,nan,2017-08-08
3238568,compact cassette,卡式录音带,,英,nan,2017-08-08
3238569,compact disc,雷射唱片｛ＣＤ｝,,英,nan,2017-08-08
3238570,companella {It.},小铃；小钟,,义,nan,2017-08-08
3238571,comparative musicology,比较音乐学,,英,nan,2017-08-08
3238572,compás {Sp.},小节,,西,nan,2017-08-08
3238573,compass,音域,,英,nan,2017-08-08
3238574,compass of voice,声部音域；声音音域,,英,nan,2017-08-08
3238575,competition in music,音乐比赛,,英,nan,2017-08-08
3238576,compiacevole {It.},爽快的,,义,nan,2017-08-08
3238577,complainte {Fr.},悲叹之歌,,法,nan,2017-08-08
3238578,complement,转位音程,,英,nan,2017-08-08
3238579,complementary interval,转位音程,,英,nan,2017-08-08
3238580,complete bar,完全小节,,英,nan,2017-08-08
3238581,complete cadence,完全终止,,英,nan,2017-08-08
3238582,complete edition,全集,,英,nan,2017-08-08
3238583,complete modulation,完全转调,,英,nan,2017-08-08
3238584,complete perfect cadence,完全终止,,英,nan,2017-08-08
3238585,complex figuration,复杂音型法,,英,nan,2017-08-08
3238586,complex rhythm,复节奏,,英,nan,2017-08-08
3238587,compline,晚祷,,英,nan,2017-08-08
3238588,component tone,分音,,英,nan,2017-08-08
3238589,componium,复合自动管风琴,,英,nan,2017-08-08
3238590,composer,作曲家,,英,nan,2017-08-08
3238591,composition,作品；乐曲；作曲,,英,nan,2017-08-08
3238592,composition pedals,合成踏板,,英,nan,2017-08-08
3238593,compound authentic cadence,复式正格终止,,英,nan,2017-08-08
3238594,compound auxiliary note,复助音,,英,nan,2017-08-08
3238595,compound binary form,复二段体,,英,nan,2017-08-08
3238596,compound changing tone (note),复换音,,英,nan,2017-08-08
3238597,compound duple meter,复二拍子,,英,nan,2017-08-08
3238598,compound duple time,复二拍子,,英,nan,2017-08-08
3238599,compound figuration,复合音型法,,英,nan,2017-08-08
3238600,compound interval,复音程,,英,nan,2017-08-08
3238601,compound measure,复拍子,,英,nan,2017-08-08
3238602,compound meter,复拍子,,英,nan,2017-08-08
3238603,compound modulation,复转调,,英,nan,2017-08-08
3238604,compound quadruple time,复四拍子,,英,nan,2017-08-08
3238605,compound rhythm,复节奏,,英,nan,2017-08-08
3238606,compound suspensions,复挂留音,,英,nan,2017-08-08
3238607,compound ternary form,复三段式,,英,nan,2017-08-08
3238608,compound time,复拍子,,英,nan,2017-08-08
3238609,compound tone,复合音,,英,nan,2017-08-08
3238610,Compound triple meter,复三拍子,,英,nan,2017-08-08
3238611,compound triple time,复三拍子,,英,nan,2017-08-08
3238612,comprimaria {It.},候补演员,,义,nan,2017-08-08
3238613,comprimario {It.},候补演员,,义,nan,2017-08-08
3238614,computer cantata,电脑清唱剧,,英,nan,2017-08-08
3238615,computer music,电脑音乐,,英,nan,2017-08-08
3238616,con allegrezza,明朗快乐的,,义,nan,2017-08-08
3238617,con amore {It.},情意绵绵的,,义,nan,2017-08-08
3238618,con anima {It.},生气蓬勃的；精神焕发的,,义,nan,2017-08-08
3238619,con ardore {It.},如火如荼的,,义,nan,2017-08-08
3238620,con bravura {It.},精湛技巧的,,义,nan,2017-08-08
3238621,con brio {It.},有精神的,,义,nan,2017-08-08
3238622,con calore {It.},热烈的；热情的；激烈的,,义,nan,2017-08-08
3238623,con energia {It.},加强的；使劲的,,义,nan,2017-08-08
3238624,con espressione {It.},富于表情的,,义,nan,2017-08-08
3238625,con garbo {It.},优雅的；高尚的,,义,nan,2017-08-08
3238626,con giusto {It.},精确的,,义,nan,2017-08-08
3238627,con grazia {It.},优雅的；可爱的,,义,nan,2017-08-08
3238628,con malinconia {It.},忧郁的,,义,nan,2017-08-08
3238629,con moto {It.},速度略快,,义,nan,2017-08-08
3238630,con passione {It.},感动的,,义,nan,2017-08-08
3238631,con pedale {It.},使用踏瓣,,义,nan,2017-08-08
3238632,con scioltezza {It.},悠闲的,,义,nan,2017-08-08
3238633,con sentimento {It.},充满感情的,,义,nan,2017-08-08
3238634,con sordino {It.},加弱音器,,义,nan,2017-08-08
3238635,con spirito {It.},有精神的,,义,nan,2017-08-08
3238636,con tenerezza {It.},温柔的,,义,nan,2017-08-08
3238637,con tutta la forza {It.},全力以赴的,,义,nan,2017-08-08
3238638,con {It.},与,,义,nan,2017-08-08
3238639,concentus {Lat.},合唱；合唱团,,拉,nan,2017-08-08
3238640,concert,音乐会,,英,nan,2017-08-08
3238641,concert aria,音乐会咏唱调,,英,nan,2017-08-08
3238642,concert band,室内管乐团,,英,nan,2017-08-08
3238643,concert de chambre {Fr.},室内音乐会,,法,nan,2017-08-08
3238644,concert grand piano,大平台钢琴；音乐会大钢琴,,英,nan,2017-08-08
3238645,concert hall,演奏厅；音乐厅,,英,nan,2017-08-08
3238646,concert music,音乐会音乐,,英,nan,2017-08-08
3238647,concert of ancient music,古乐音乐会,,英,nan,2017-08-08
3238648,concert overture,音乐会序曲,,英,nan,2017-08-08
3238649,concert performer,演奏家,,英,nan,2017-08-08
3238650,concert piece,音乐会曲,,英,nan,2017-08-08
3238651,concert pitch,音乐会音高,,英,nan,2017-08-08
3238652,concert program,曲目,,英,nan,2017-08-08
3238653,concert room,演奏室,,英,nan,2017-08-08
3238654,concert singer,歌唱家,,英,nan,2017-08-08
3238655,concert spirituel {Fr.},圣灵音乐会；牧灵音乐会,,法,nan,2017-08-08
3238656,concert {Fr.},音乐会；合奏曲,,法,nan,2017-08-08
3238657,concertante {It.},复协奏曲,,义,nan,2017-08-08
3238658,concertato {It.},主奏部,,义,nan,2017-08-08
3238659,concerted,合奏,,英,nan,2017-08-08
3238660,concertina,六角手风琴,,英,nan,2017-08-08
3238661,concertina {Fr.},六角手风琴,,英˙法,nan,2017-08-08
3238662,concertino {It.},独奏群；小协奏曲,,义,nan,2017-08-08
3238663,concertist,演奏家,,英,nan,2017-08-08
3238664,concertmaster,乐团首席,,英,nan,2017-08-08
3238665,concerto da camera {It.},室内协奏曲,,义,nan,2017-08-08
3238666,concerto da chiesa {It.},教会协奏曲,,义,nan,2017-08-08
3238667,concerto ecclesiatico {It.},教会协奏曲,,义,nan,2017-08-08
3238668,concerto for orchestra,管弦协奏曲,,英,nan,2017-08-08
3238669,concerto grosso {It.},大协奏曲,,义,nan,2017-08-08
3238670,concerto {It.},协唱奏曲；协奏曲；音乐会,,义,nan,2017-08-08
3238671,concerto {It.}{Fr.},协奏曲,,义˙英˙法,nan,2017-08-08
3238672,concierto {Sp.},音乐会；协奏曲,,西,nan,2017-08-08
3238673,concise binary form,简明二段体,,英,nan,2017-08-08
3238674,concitato {It.},激动的；感动的,,义,nan,2017-08-08
3238675,concord,协和和弦,,英,nan,2017-08-08
3238676,concord harmonies,协和和弦和声,,英,nan,2017-08-08
3238677,concordant intervals,协和音程,,英,nan,2017-08-08
3238678,concours de musique {Fr.},音乐比赛,,法,nan,2017-08-08
3238679,condotta delle voci {It.},声部进行,,义,nan,2017-08-08
3238680,conducteur {Fr.},简化总谱,,法,nan,2017-08-08
3238681,conducting,指挥法,,英,nan,2017-08-08
3238682,conductor,指挥,,英,nan,2017-08-08
3238683,Conductus motet,康都经文歌,,英,nan,2017-08-08
3238684,conductus {Lat.},康都曲风,,拉,nan,2017-08-08
3238685,conduite des voix {Fr.},声部进行,,法,nan,2017-08-08
3238686,confinalis {Lat.},副终止音（教会调式）,,拉,nan,2017-08-08
3238687,conga ( drums ),康加鼓,,英,nan,2017-08-08
3238688,congoerá {Sp.},拱戈耶拉｛擦响器｝,,西,nan,2017-08-08
3238689,conjunct and disjunct,级进与跳进,,英,nan,2017-08-08
3238690,conjunct degree,连续级,,英,nan,2017-08-08
3238691,conjunct motion,级进,,英,nan,2017-08-08
3238692,conjunct tetrachords,直接四音组,,英,nan,2017-08-08
3238693,conjunctura {Lat.},方形记谱,,拉,nan,2017-08-08
3238694,connection of chords,和弦连接,,英,nan,2017-08-08
3238695,consecutive dominant chords,连续属和弦（弦）,,英,nan,2017-08-08
3238696,consecutive fifths,连续五度,,英,nan,2017-08-08
3238697,consecutive fourths,连续四度,,英,nan,2017-08-08
3238698,consecutive octaves,连续八度,,英,nan,2017-08-08
3238699,consecutive seconds,连续二度,,英,nan,2017-08-08
3238700,consecutive sevenths,连续七度,,英,nan,2017-08-08
3238701,consecutive unisons,连续同度,,英,nan,2017-08-08
3238702,consecutives,连续,,英,nan,2017-08-08
3238703,consequent phrase,后分句,,英,nan,2017-08-08
3238704,conservatoire {Fr.},音乐学院,,法,nan,2017-08-08
3238705,conservatorio {It.}{Sp.},音乐学院,,义．西,nan,2017-08-08
3238706,conservatory,音乐学院,,英,nan,2017-08-08
3238707,consolations {Fr.},安慰,,法,nan,2017-08-08
3238708,console,演奏台（管风琴）；混音器；控制台,,英,nan,2017-08-08
3238709,consonance imparfaite {Fr.},不完全协和；不完全协和音　,,法,nan,2017-08-08
3238710,consonance parfaite {Fr.},完全协和,,法,nan,2017-08-08
3238711,consonance {Fr.},协和；协和音,,英˙法,nan,2017-08-08
3238712,consonant,子音,,英,nan,2017-08-08
3238713,consonant chord,协和和弦（弦）,,英,nan,2017-08-08
3238714,consonant interval,协和音程,,英,nan,2017-08-08
3238715,consonante {It.},子音,,义,nan,2017-08-08
3238716,consonanza imperfetta {It.},不完全协和；不完全协和音,,义,nan,2017-08-08
3238717,consonanza perfetta {It.},完全协和,,义,nan,2017-08-08
3238718,consonanza {It.},协和；协和音,,义,nan,2017-08-08
3238719,consonne {Fr.},子音,,法,nan,2017-08-08
3238720,consort,同类乐器重奏,,英,nan,2017-08-08
3238721,conte {Fr.},情景曲,,法,nan,2017-08-08
3238722,contemporary music,当代音乐,,英,nan,2017-08-08
3238723,continental fingering,欧陆指法,,英,nan,2017-08-08
3238724,continental tango,欧陆探戈舞曲,,英,nan,2017-08-08
3238725,continuity,连续性,,英,nan,2017-08-08
3238726,continuo instrument,数字低音乐器,,英,nan,2017-08-08
3238727,continuo {It.},持续低音；数字低音,,义,nan,2017-08-08
3238728,contra octave,下一点八度（音域）,,英,nan,2017-08-08
3238729,contrabass,低音提琴,,英,nan,2017-08-08
3238730,contrabass clarinet,倍低音单簧管,,英,nan,2017-08-08
3238731,contrabass clef,下低音谱号,,英,nan,2017-08-08
3238732,contrabass sarrusophone,倍低音萨鲁管,,英,nan,2017-08-08
3238733,contrabass saxophone,倍低音萨氏管,,英,nan,2017-08-08
3238734,contrabass trombone,倍低音长号,,英,nan,2017-08-08
3238735,contrabass tuba,低音号,,英,nan,2017-08-08
3238736,contrabassoon,倍低音管,,英,nan,2017-08-08
3238737,contraction of sentence,乐句缩短,,英,nan,2017-08-08
3238738,contradanza {Sp.},乡村舞曲；对舞舞曲,,西,nan,2017-08-08
3238739,contraddanza {It.},乡村舞曲；对舞舞曲,,义,nan,2017-08-08
3238740,contrafactum {It.},换词歌曲,,义,nan,2017-08-08
3238741,contrafagotto {It.},倍低音管,,义,nan,2017-08-08
3238742,contraltist {It.},女中音阉歌手,,义,nan,2017-08-08
3238743,contralto {It.},中音；女低音,,义,nan,2017-08-08
3238744,contraponto doppio {It.},二部对位,,义,nan,2017-08-08
3238745,contrappunto eguale {It.},等值对位法,,义,nan,2017-08-08
3238746,contrappunto ineguale {It.},不等值对位法,,义,nan,2017-08-08
3238747,contrappunto invertibile {It.},复对位,,义,nan,2017-08-08
3238748,Contrappunto quadruplo {It.},四部复对位法,,义,nan,2017-08-08
3238749,contrappunto quintuple {It.},五部复对位法,,义,nan,2017-08-08
3238750,contrappunto triplo {It.},三部对位,,义,nan,2017-08-08
3238751,contrappunto {It.},对位法,,义,nan,2017-08-08
3238752,contrapunctus aequalis {Lat.},等值对位法,,拉,nan,2017-08-08
3238753,contrapunctus inaequalis {Lat.},不等值对位法,,拉,nan,2017-08-08
3238754,contrapunctus {Lat.},对位法；对位,,拉,nan,2017-08-08
3238755,contrapuntist,对位法家,,英,nan,2017-08-08
3238756,contrapunto {Sp.},对位法,,西,nan,2017-08-08
3238757,contrary motion,反行,,英,nan,2017-08-08
3238758,contrast construction,对比构造,,英,nan,2017-08-08
3238759,contrasted motive,对比动机,,英,nan,2017-08-08
3238760,Contratanz {Ger.},乡村舞曲；对舞舞曲,,德,nan,2017-08-08
3238761,contre chant {Fr.},对位声部；对旋律,,法,nan,2017-08-08
3238762,contre octave {Fr.},下一点八度（音域）,,法,nan,2017-08-08
3238763,contre sujet {Fr.},对句；对位主题,,法,nan,2017-08-08
3238764,contrebasse à pistons {Fr.},活塞式低音号,,法,nan,2017-08-08
3238765,contrebasse d'harmonie {Fr.},奥菲克莱德号,,法,nan,2017-08-08
3238766,contrebasson {Fr.},倍低音管,,法,nan,2017-08-08
3238767,contredanse {Fr.},乡村舞曲；对舞舞曲,,法,nan,2017-08-08
3238768,contrepoint doublé {Fr.},二部对位,,法,nan,2017-08-08
3238769,contrepoint en ronde {Lat.},等值对位法,,拉,nan,2017-08-08
3238770,contrepoint fleuri {Fr.},华彩对位,,法,nan,2017-08-08
3238771,contrepoint imitatif {Fr.},模仿对位法,,法,nan,2017-08-08
3238772,contrepoint inégal {Fr.},不等值对位法,,法,nan,2017-08-08
3238773,contrepoint libre {Fr.},自由对位,,法,nan,2017-08-08
3238774,Contrepoint quadruple {Fr.},四部复对位法,,法,nan,2017-08-08
3238775,contrepoint quintuple {Fr.},五部复对位法,,法,nan,2017-08-08
3238776,contrepoint renversable {Fr.},复对位,,法,nan,2017-08-08
3238777,contrepoint strict {Fr.},严格对位,,法,nan,2017-08-08
3238778,contrepoint triple {Fr.},三部对位,,法,nan,2017-08-08
3238779,contrepoint {Fr.},对位法,,法,nan,2017-08-08
3238780,contreteneur {Fr.},中音 ｛音域｝；假声中音,,法,nan,2017-08-08
3238781,controcanto {It.},对位声部；对旋律,,义,nan,2017-08-08
3238782,controsoggetto {It.},对句；对位主题,,义,nan,2017-08-08
3238783,controtema {It.},对句；对位主题,,义,nan,2017-08-08
3238784,convenient notation,简便记谱法,,英,nan,2017-08-08
3238785,Cool jazz,冷爵士,,英,nan,2017-08-08
