ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367466,levetiracetam,l-吡咯酮丁醯胺,Anticonvulsants/Antiepileptic drugs (AEDs)：Pyrrolidines,113.11.22,2026-05-11
21367467,levobunolol,佐必诺落；l-丁萘酮洛,Antiglaucoma agents：β-adrenergic blocking agents,113.11.22,2026-05-11
21367468,levocetirizine,左羧醚氯哌𠯤；l-羧氯苯苄哌𠯤,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367469,levofloxacin,l-氟𠰌洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367470,levonorgestrel,左炔异睪固酮；l-炔异睪固酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367471,lidocaine,利多卡因；二甲苯卡因,Analgesics & Anesthetics: Local anesthetics [Antiarrhythmics agents：Class Ib antiarrhythmics],113.11.22,2026-05-11
21367472,linaclotide ,酪脯疏秘肽,Laxatives：Guanylate Cyclase Agonist,113.11.22,2026-05-11
21367473,lincomycin,林丝菌素,Antibiotics：Lincosamides,113.11.22,2026-05-11
21367474,linezolid,l-𠰌苯㗁唑酮；l-𠰌苯㗁唑酮,Antibiotics：Oxazolidinone antibacterials,113.11.22,2026-05-11
21367475,lisinopril,离压利；苄丙缩离脯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367476,lomefloxacin,罗美氟洒欣；乙二氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367477,lopinavir,乐庇韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367478,loracarbef,碳头孢氯苄胺,Antibiotics：Cephems,113.11.22,2026-05-11
21367479,loratadine,氯异氮𠰢啶酯,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367480,lorazepam,氯羟氮呯酮,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives [Anticonvulsants/Antiepileptic drugs (AEDs)]",113.11.22,2026-05-11
21367481,lorlatinib,酪猎肺靶泊；氟腈环醯胺醚肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367482,losartan,乐洒坦；四唑氯裂拮压,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
21367483,lubiprost one,掳秘前列酮；氟喃前列素Ｅ1,Laxatives：Chloride Channel Activator,113.11.22,2026-05-11
21367484,lumefantrine,萤茀羟乙胺；氯茀羟乙胺,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367485,lurasidone,乐瑞思通；l-苯噻唑二亚醯胺,Antidepressants：Atypical antipsychotics,113.11.22,2026-05-11
21367486,macitentan,美兮内皮坦；丙砜二胺内皮坦,Antihypertensives：Endothelin receptor antagonists,113.11.22,2026-05-11
21367487,mafenide,伸磺胺,Antibiotics：Sulfonamides,113.11.22,2026-05-11
21367488,magnesium citrate,柠檬酸镁,Laxatives：Osmotic agents,113.11.22,2026-05-11
21367489,magnesium hydroxide,氢氧化镁,Laxatives：Osmotic agents,113.11.22,2026-05-11
21367490,magnesium sulfate,硫酸镁,Laxatives：Osmotic agents,113.11.22,2026-05-11
21367491,maprotiline,乙桥蒽思定；乙桥蒽丙胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367492,maraviroc,麻扰韦尔,Antivirals：Others,113.11.22,2026-05-11
21367493,maribavir,麻利巨韦尔；氯苯咪苷,Antivirals：Others,113.11.22,2026-05-11
21367494,mebendazole,苯甲醯苯咪唑,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367495,meclizine,甲克晕𠯤；甲苄氯哌𠯤,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],113.11.22,2026-05-11
21367496,medroxyprogesterone acetate,甲羟孕酮乙酸酯,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367497,mefloquine,甲氟喹 ；氟哌羟甲喹,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367498,megestrol acetate,甲羟孕烯酮乙酸酯,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367499,melarsoprol,美耐胂硫醇 ；三聚氰胺胂硫醇,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367500,melitracen,甲蒽思定；甲蒽丙烯胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367501,melphalan,苯丙胺酸氮芥,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367502,memantine,甲金刚胺,Antidementia： N-methyl-D-aspartate (NMDA) receptor antagonist,113.11.22,2026-05-11
21367503,mepyramine,甲吡胺；吡甲氧苄二胺,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367504,mercaptopurine,硫酮嘌呤,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367505,meropenem,美若盘尼；甲胺醯碳盘尼,Antibiotics：Carbapenems,113.11.22,2026-05-11
21367506,mestranol,甲醚炔雌醇,Sex-hormonal agent：Estrogen receptor (ER) modulators,113.11.22,2026-05-11
21367507,Methotrexate,甲胺叶酸,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs) [Antineoplastic agents：Antimetabolites],113.11.22,2026-05-11
21367508,methylcellulose,甲基纤维素,Laxatives：Bulk-forming agents,113.11.22,2026-05-11
21367509,methyldopa,甲多巴,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367510,methylphenidate,甲苯哌酯；哌啶苯甲酯,Antidepressants：Norepinephrine–dopamine reuptake inhibitors (NDRI),113.11.22,2026-05-11
21367511,methyltestosterone,甲睪固酮,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367512,metoclopramide,甲氧氯醯胺,Antiemetics：Dopamine antagonist,113.11.22,2026-05-11
21367513,metolazone,甲苯磺嘧酮；甲磺醯胺苯嘧酮,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367514,metoprolol,美妥落；乙醚异丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367515,"metrifonate, trichlorfon",三氯膦甲酯；三氯羟乙膦酸甲酯,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367516,metronidazole,甲硝咪唑；羟乙硝咪唑,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367517,mexiletine,二甲苯醚丙胺,Antiarrhythmics agents：Class Ib antiarrhythmics,113.11.22,2026-05-11
21367518,mezlocillin,甲砜唑酮西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367519,mianserin,甲哌𠯤氮呯；氮三环甲哌𠯤,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367520,micafungin,美佳棘白霉素,Antifungals：Echinocandins,113.11.22,2026-05-11
21367521,miconazole,氯乙克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367522,midazolam,咪卤氮呯,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives [Anticonvulsants/Antiepileptic drugs (AEDs)]",113.11.22,2026-05-11
21367523,midostaurin,苯醯星孢素；苯醯星形孢菌素,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367524,milnacipran,弥乐思汀；胺醯环丙类思汀,Antidepressants：Serotonin–norepinephrine reuptake inhibitor (SNRI),113.11.22,2026-05-11
21367525,milrinone,甲腈联吡酮,Phosphodiesterase inhibitors：PDE3 inhibitors [Cardiotonic agents：PDE3 inhibitors],113.11.22,2026-05-11
21367526,miltefosine,膦胆碱棕榈酯,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367527,minocycline,甲胺四环素,Antibiotics：Tetracyclines,113.11.22,2026-05-11
21367528,minoxidil,嘧羟压定,Antihypertensives：Agents acting on arteriolar smooth muscle,113.11.22,2026-05-11
21367529,mirtazapine,甲哌𠯤吡氮呯；吡氮三环甲哌𠯤,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367530,misoprostol,甲异前列酯 E2,Drugs for peptic ulcer and gastroesophageal reflux disease: Prostaglandins [Prostaglandin analogues],113.11.22,2026-05-11
21367531,mitomycin,丝裂丝菌素,Antineoplastic agents：Antibiotics,113.11.22,2026-05-11
21367532,mitoxantrone,丝裂蒽醌,Antineoplastic agents：Antibiotics,113.11.22,2026-05-11
21367533,moclobemide,𠰌氯苯醯胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367534,mosapride,摩洒泊秘；氟𠰌苯醯胺,Laxatives：Prokinetic Agents (5-HT4 agonists),113.11.22,2026-05-11
21367535,moxifloxacin,抹卸氟洒欣；甲氧哌吡氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367536,mupirocin,萤假单孢菌素,Antibiotics：Others,113.11.22,2026-05-11
21367537,nabilone,壬氢大麻酚酮,Antiemetics：Cannabinoid receptors agonists,113.11.22,2026-05-11
21367538,nadifloxacin,耐定氟洒欣；羟氟哌啶洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367539,nadolol,萘羟洛；羟氢萘丁洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367540,nafarelin,萘丙甘促垂肽；萘丙甘醯胺促垂体肽,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367541,naftifine,桂皮萘胺；萘甲桂皮胺,Antifungals：Allylamines,113.11.22,2026-05-11
21367542,naftopidil,萘妥洛；萘妥压定,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367543,nalidixic acid,㖠啶酮酸,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367544,"natamycin, pimaricin",纳达丝菌素；纳达烯内酯,Antifungals：Polyenes,113.11.22,2026-05-11
21367545,nebivolol,纳必落；二氟色原烷洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367546,nelfinavir,纳斐韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367547,nemonoxacin,耐诺洒欣；哌环丙喹啉酮酸,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367548,neomycin,新丝菌素,Antibiotics：Aminoglycosides,113.11.22,2026-05-11
21367549,neostigmine,新扁豆碱,Antiglaucoma agents：Acetylcholinesterase inhibitors,113.11.22,2026-05-11
21367550,neratinib,虐扰乳靶泊；吡胺氰喹啉乳靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367551,netilmicin,耐特菌素；乙印优微单孢菌素,Antibiotics：Aminoglycosides,113.11.22,2026-05-11
21367552,netupitant,网堵脾坦；哌𠯤丁醯胺必坦,Antiemetics：NK1 receptor antagonist,113.11.22,2026-05-11
21367553,nevirapine,环丙吡氮呯,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),113.11.22,2026-05-11
21367554,nialamide,烟醯肼丙醯胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367555,nicardipine,尼心定平；苄胺硝啶平,Antihypertensives：Calcium channel blockers,113.11.22,2026-05-11
21367556,niclosamide,硝氯柳醯胺；硝氯苯柳醯胺,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367557,nifedipine,尼斐定平；硝啶平,Antihypertensives：Calcium channel blockers,113.11.22,2026-05-11
21367558,nifuroxazide,硝呋酚醯腙,Antibiotics：Others,113.11.22,2026-05-11
21367559,nifurtimox,硝呋砜𠰌腙,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367560,nilotinib,逆落淋靶泊；咪吡醯胺淋靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367561,nilutamide,硝卤醯胺；硝氟苄乙内醯脲,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367562,nimodipine,尼脉定平；硝甲醚啶平,Antihypertensives：Calcium channel blockers,113.11.22,2026-05-11
21367563,nintedanib,逆挞血管靶泊；哌吲酮芪血管靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367564,niraparib,逆扰聚核苷靶泊；哌啶吲唑聚核苷靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367565,nirmatrelvir,宁灭肺韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367566,nitazoxanide,硝噻唑柳醯胺,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367567,nitrendipine,尼淬定平；硝乙啶平,Antihypertensives：Calcium channel blockers,113.11.22,2026-05-11
21367568,nitrofurantoin,硝呋咪二酮腙,Antibiotics：Others,113.11.22,2026-05-11
21367569,"nitrofurazone, nitrofural ",硝呋胺醯腙,Antibiotics：Others,113.11.22,2026-05-11
21367570,nivolumab,逆伏单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367571,nizatidine,硝噻唑抗组胺；硝烯噻唑硫醚,Antihistamines：H2-antihistamines,113.11.22,2026-05-11
21367572,norethindrone,挪炔睪酮；炔去甲睪固酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367573,norethisterone,挪炔睪酮；炔去甲睪固酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367574,norfloxacin,挪氟洒欣；去甲乙氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367575,norgestrel,炔异睪固酮,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367576,nortriptyline,甲思定；去甲三环丙烯胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367577,nystatin,耐丝菌素；耐丝烯内酯,Antifungals：Polyenes,113.11.22,2026-05-11
21367578,octreotide,八体汀肽；苯丙苏醇体汀肽,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367579,ofloxacin,奥氟洒欣；甲𠰌氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367580,olaparib,奥猎聚核苷靶泊；哌苯呔𠯤酮聚核苷靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367581,oleandomycin,竹桃丝菌素；黄丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367582,olmesartan,沃美洒坦；四唑二呃裂拮压,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
21367583,olmesartan medoxomil,沃美洒坦㗁呃酯；四唑二呃裂拮压㗁呃酯,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
21367584,omidenepag isopropyl,目明促摄素；吡唑磺醯甘胺酯,"Antiglaucoma agents：Prostaglandins receptors agonists, non-prostanoids",113.11.22,2026-05-11
21367585,ondansetron,安坦息冲；咪咔唑酮,Antiemetics：5-HT3 antagonist,113.11.22,2026-05-11
21367586,orciprenaline,甲苯苄醚胺,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367587,oseltamivir,奥卸流感韦尔；戊莽流感韦尔,Antivirals：Neuraminidase inhibitors,113.11.22,2026-05-11
21367588,osimertinib,奥新肺靶泊；吲胺嘧肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367589,oxacillin,苯㗁唑西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367590,oxaliplatin,胺配草酸铂,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367591,oxamniquine,羟胺硝喹；羟硝丙胺氢喹,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367592,oxcarbazepine,羰胺甲醯氮呯,Anticonvulsants/Antiepileptic drugs (AEDs)：Carboxamides,113.11.22,2026-05-11
21367593,oxiconazole,肟氯克霉唑；肟氯乙克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367594,oxolinic acid,㗁喹啉酮酸,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367595,oxprenolol,沃压诺落；丙烯醚异丙洛,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367596,oxytetracycline,羟四环素,Antibiotics：Tetracyclines,113.11.22,2026-05-11
21367597,paclitaxel,紫杉醇,Antineoplastic agents：Taxanes,113.11.22,2026-05-11
21367598,palbociclib,拔搏周素靶泊；哌戊吡嘧酮周素靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367599,palivizumab,帕利肺单抗,Antivirals：Others,113.11.22,2026-05-11
21367600,palonosetron,泛诺息冲；𪡓环己异喹酮,Antiemetics：5-HT3 antagonist,113.11.22,2026-05-11
21367601,panitumumab,泛益妥单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367602,panobinostat,吲桂羟醯胺,Antineoplastic agents： Histone deacetylase inhibitors,113.11.22,2026-05-11
21367603,papaverine,罂粟碱,Phosphodiesterase inhibitors：PDE10 inhibitors,113.11.22,2026-05-11
21367604,paraldehyde,三聚乙醛,Anticonvulsants/Antiepileptic drugs (AEDs)：Aldehydes,113.11.22,2026-05-11
21367605,paramethadione,乙甲㗁唑二酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Oxazolidinediones,113.11.22,2026-05-11
21367606,paromomycin,龟裂丝菌素；蠕原虫丝菌素,Antibiotics：Aminoglycosides [Antiparasitics：Antiprotozoals],113.11.22,2026-05-11
21367607,paroxetine,哌乐思汀；氟苯哌啶类思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),113.11.22,2026-05-11
21367608,pasireotide,泊类体汀肽；胺甲酯苯甘类体汀肽,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367609,pazopanib,泛挫血管靶泊；吲唑苯磺胺血管靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367610,peficitinib,金刚胺熄靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367611,pefloxacin,贝氟洒欣；乙氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367612,pembrolizumab,遍搏拟单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367613,pemetrexed,吡咯叶酸,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367614,pemigatinib,沛革胆靶泊；氟𠰌吡咯嘧酮胆靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367615,penbutolol,环戊丁洛；环戊（叔）丁洛,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367616,penciclovir,泛赐疱韦尔；戊二醇鸟疱韦尔,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367617,Penicillamine,青霉胺；硫醇缬胺酸,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs) [Heavy metal antagonists],113.11.22,2026-05-11
21367618,pentamidine,戊双苄脒醚,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367619,pentetreotide,遍透体汀肽；羧胺苏醇体汀肽,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367620,pentoxifylline,戊酮咖啡因；己酮可可碱,Phosphodiesterase inhibitors：Methylated xanthines,113.11.22,2026-05-11
21367621,peramivir,泊安流感韦尔；胍异莽流感韦尔,Antivirals：Neuraminidase inhibitors,113.11.22,2026-05-11
21367622,perampanel,苯腈联吡酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Others,113.11.22,2026-05-11
21367623,perindopril,配吲哚压利；戊缩丙环己脯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367624,pertuzumab,赫妥拟单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367625,pexidartinib,沛达腱靶泊；氟氯吡咯吡啶腱靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367626,phenelzine,苯乙联胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367627,phenobarbital,苯巴比妥；苯嘧啶三酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Barbiturates,113.11.22,2026-05-11
21367628,phenobarbitone,苯巴比妥；苯嘧啶三酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Barbiturates,113.11.22,2026-05-11
21367629,phenytoin,二苯妥因；苯乙内醯脲,Anticonvulsants/Antiepileptic drugs (AEDs)：Hydantoins [Antiarrhythmics agents：Class Ib antiarrhythmics],113.11.22,2026-05-11
21367630,physostigmine,毒扁豆碱,Antiglaucoma agents：Acetylcholinesterase inhibitors,113.11.22,2026-05-11
21367631,pibrentasvir,庇瑞肝韦尔；二苏肝韦尔,Antivirals：Hepatitis C Virus (HCV) non-structural protein 5A (NS5A) inhibitors,113.11.22,2026-05-11
21367632,pilocarpine,毛果芸香碱,Antiglaucoma agents：Muscarinic acetylcholine receptors agonists,113.11.22,2026-05-11
21367633,pimecrolimus,氯子囊菌素；氯代羟子囊菌素,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,113.11.22,2026-05-11
21367634,pindolol,丙吲哚洛；吲哚丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367635,pipemidic acid,哌𠯤嘧吡酮酸,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367636,piperacillin,哌𠯤酮西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367637,piperazine,哌𠯤,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367638,piracetam,吡咯酮乙醯胺,Anticonvulsants/Antiepileptic drugs (AEDs)：Pyrrolidines,113.11.22,2026-05-11
21367639,piroctone olamine,戊羟啶酮•乙醇胺；新戊丙羟啶酮乙醇铵盐,Antifungals：Others,113.11.22,2026-05-11
21367640,plecanatide,白缬疏秘肽,nan,113.11.22,2026-05-11
21367641,polycarbophil calcium,交联聚丙烯酸钙盐,Laxatives：Bulk-forming agents,113.11.22,2026-05-11
21367642,polyethylene glycol (PEG),聚乙二醇,Laxatives：Osmotic agents,113.11.22,2026-05-11
21367643,polymyxin B,多黏杆菌素B；多黏杆菌肽B,Antibiotics：Polypeptides,113.11.22,2026-05-11
21367644,polymyxin E,多黏杆菌素E；多黏杆菌肽E,Antibiotics：Polypeptides,113.11.22,2026-05-11
21367645,pomalidomide,沙利窦迈胺,Antineoplastic agents： Immunomodulatory Agents (IMiDs),113.11.22,2026-05-11
21367646,ponatinib,保拏淋靶泊；咪三唑哌醯胺淋靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367647,posaconazole,泊煞克霉唑；羟𠯤氟克霉三唑,Antifungals：Azole,113.11.22,2026-05-11
21367648,pralatrexate,丙炔胺叶酸,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367649,praziquantel,哌𠯤酮异喹,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367650,prazosin,哌𠯤挫欣；呋醯哌𠯤挫欣,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367651,pregabalin,异丁胺丁酸,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,113.11.22,2026-05-11
21367652,primaquine,甲氧喹；戊二胺甲氧喹,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367653,primidone,苯嘧啶二酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Barbiturates,113.11.22,2026-05-11
21367654,pristinamycin,螺丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367655,procainamide,新卡醯胺,Antiarrhythmics agents：Class Ia antiarrhythmics,113.11.22,2026-05-11
21367656,prochlorperazine,丙氯哌𠯤 ；氯哌𠯤丙苯噻𠯤,Antiemetics：Dopamine antagonist,113.11.22,2026-05-11
21367657,progesterone,黄体素；黄体固酮；孕酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367658,progestin,黄体素；黄体固酮；孕酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367659,proguanil,丙缩胍；氯苯丙缩胍,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367660,promethazine,丙胺苯噻𠯤,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],113.11.22,2026-05-11
21367661,propafenone,苯丙酮洛丙胺酚醚酮,Antiarrhythmics agents：Class Ib antiarrhythmics,113.11.22,2026-05-11
21367662,propranolol,丙萘洛；萘丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367663,protriptyline,原思定；烯三环丙胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367664,prucalopride,扑卡泊秘；丙哌呋苯醯胺,Laxatives：Prokinetic Agents (5-HT4 agonists),113.11.22,2026-05-11
21367665,psyllium,车前子,Laxatives：Bulk-forming agents,113.11.22,2026-05-11
21367666,pyrantel,嘧啶噻吩芪,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367667,pyrazinamide,吡𠯤醯胺,Antimycobacterials,113.11.22,2026-05-11
21367668,pyrilamine,甲吡胺；吡甲氧苄二胺,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367669,pyrimethamine,嘧啶乙胺；胺氯苯乙嘧啶,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367670,pyrvinium,吡咯喹𮢅芪,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367671,ouabain,哇巴因；毒毛旋花子苷-G,Antiarrhythmics agents：Class Ⅴ (miscellaneous) antiarrhythmics [Cardiotonic agents：I. Cardiac glycosides],113.11.22,2026-05-11
21367672,quetiapine,静硫氮呯；羟哌𠯤硫氮呯,Antipsychotics: Atypical antipsychotics [Antidepressants：Atypical antipsychotics],113.11.22,2026-05-11
21367673,quinapril,喹啉压利；苄丙缩丙异喹啉,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367674,quinidine,异奎宁,Antiparasitics：Antiprotozoals [Antiarrhythmics agents：Class Ia antiarrhythmics],113.11.22,2026-05-11
21367675,quinine,奎宁,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367676,quinupristin,𪡓啶螺菌素；𪡓啶螺丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367677,raloxifene,胺苯酮噻芪酚；胺苯甲醯噻吩芪酚,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Estrogen receptor (ER) modulators],113.11.22,2026-05-11
21367678,raltegravir,拉勒嵌韦尔,Antivirals：Integrase inhibitors,113.11.22,2026-05-11
21367679,ramipril,瑞弭压利；苄丙缩丙环戊脯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367680,ramosetron,锐没息冲；吲氢苯二唑酮,Antiemetics：5-HT3 antagonist,113.11.22,2026-05-11
21367681,ramucirumab,瑞睦单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367682,ranitidine,喃硝抗组胺；硝烯二胺呋硫醚,Antihistamines：H2-antihistamines,113.11.22,2026-05-11
21367683,regorafenib,力革速肌靶泊；卤脲氟吡醯胺速肌靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367684,remdesivir,瑞德肺韦尔；氰类腺肺韦尔,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367685,reserpine,利血平；蛇根碱,Antihypertensives：Miscellaneous,113.11.22,2026-05-11
