ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3543049,consolidated group,合并集团,,nan,2018-06-26
3543050,consolidated statement of financial position,合并财务状况表,,nan,2018-06-26
3543051,consolidation,合并,,新设合并,2018-06-26
3543052,consolidation adjustments,合并调整,,nan,2018-06-26
3543053,consolidation process,合并流程,,nan,2018-06-26
3543054,consolidation—special purpose entities,合并：特殊目的个体,,nan,2018-06-26
3543055,constant,常数,,nan,2018-06-26
3543056,constant gross-margin percentage NRV method,固定毛利率净变现价值法,,nan,2018-06-26
3543057,constraint,限制,,nan,2018-06-26
3543058,construction contract[s],工程合约,,nan,2018-06-26
3543059,construction-in-progress,在建工程,,在建工程,2018-06-26
3543060,constructive obligation,推定义务,,nan,2018-06-26
3543061,contingency,或有；或有事项,,或有事项,2018-06-26
3543062,contingent assets,或有资产,,或有资产,2018-06-26
3543063,contingent consideration,或有对价,,nan,2018-06-26
3543064,contingent consideration arrangement,或有对价约定,,nan,2018-06-26
3543065,contingent fee,或有公费,,或有收费,2018-06-26
3543066,contingent liabilities,或有负债,,或有负债,2018-06-26
3543067,contingent liability,或有负债,,nan,2018-06-26
3543068,contingent rent,或有租金,,nan,2018-06-26
3543069,contingent settlement provision,或有交割条款,,nan,2018-06-26
3543070,contingent share agreement,或有股份协议,,nan,2018-06-26
3543071,contingently issuable ordinary shares,或有可发行普通股,,nan,2018-06-26
3543072,contingently issuable shares,或有发行股份,,nan,2018-06-26
3543073,continuing involvement,持续参与,,nan,2018-06-26
3543074,continuing involvement approach,持续参与法,,nan,2018-06-26
3543075,continuing operations,继续营业单位,,nan,2018-06-26
3543076,continuing relevance,持续攸关性,,nan,2018-06-26
3543077,continuous budget,连续预算,,nan,2018-06-26
3543078,contra account,抵销科目,,备抵账户,2018-06-26
3543079,contract,合约,,nan,2018-06-26
3543080,contracts that may be settled in [ordinary] shares or cash,得以股份[普通股]或现金交割之合约,,nan,2018-06-26
3543081,contractual arrangement,合约协议,,nan,2018-06-26
3543082,contractual cash flows,合约现金流量,,nan,2018-06-26
3543083,contractual completion,合约完工；合约完成,,nan,2018-06-26
3543084,contractual maturity analysis,合约到期分析,,nan,2018-06-26
3543085,contractual obligation,合约义务,,nan,2018-06-26
3543086,contractual right to receive the cash flows,收取现金流量之合约权利,,nan,2018-06-26
3543087,contractual rights,合约权利,,nan,2018-06-26
3543088,contractual-legal criterion,合约或法定条件,,nan,2018-06-26
3543089,contractually linked instruments,合约连结工具,,nan,2018-06-26
3543090,contributed equity,投入权益,,nan,2018-06-26
3543091,contribution,贡献；提拨[金]；投入；捐赠,,nan,2018-06-26
3543092,contribution income statement,贡献式损益表,,nan,2018-06-26
3543093,contribution margin,边际贡献,,边际贡献,2018-06-26
3543094,contribution margin per unit,单位边际贡献,,nan,2018-06-26
3543095,contribution margin percentage,边际贡献百分比,,nan,2018-06-26
3543096,contribution margin ratio {=CM},边际贡献率,,边际贡献率,2018-06-26
3543097,contributor,提拨者,,nan,2018-06-26
3543098,contributory negligence,共同过失；与有过失,,nan,2018-06-26
3543099,control,控制,,nan,2018-06-26
3543100,control [of an asset],控制[资产],,nan,2018-06-26
3543101,control activities,控制活动,,nan,2018-06-26
3543102,control chart,控制图,,nan,2018-06-26
3543103,control deficiency,控制缺失,,nan,2018-06-26
3543104,control environment,控制环境,,控制环境,2018-06-26
3543105,control number,控制数,,nan,2018-06-26
3543106,control risk,控制风险,,控制风险,2018-06-26
3543107,control risk matrix,控制风险检测表,,nan,2018-06-26
3543108,controllability,可控制性,,nan,2018-06-26
3543109,controllable cost,可控制成本,,可控成本,2018-06-26
3543110,controlled entity,被控制个体,,nan,2018-06-26
3543111,controller,会计长,,nan,2018-06-26
3543112,convenience translation,简易换算,,nan,2018-06-26
3543113,convergence,趋同,,nan,2018-06-26
3543114,conversion costs,加工成本,,nan,2018-06-26
3543115,conversion option,转换选择权,,nan,2018-06-26
3543116,convertible bond[s],可转换债券,,可转换债券,2018-06-26
3543117,convertible debt,可转换债务,,nan,2018-06-26
3543118,convertible instruments,可转换工具,,nan,2018-06-26
3543119,convertible preference share,可转换特别股,,可转换优先股,2018-06-26
3543120,convertible preferred stock,可转换特别股,,可转换优先股,2018-06-26
3543121,co-operative,合作社,,nan,2018-06-26
3543122,copyright,著作权,,nan,2018-06-26
3543123,core goodwill,核心商誉,,nan,2018-06-26
3543124,corporate bond,公司债,,公司债券,2018-06-26
3543125,corporate finance,公司理财,,公司财务,2018-06-26
3543126,corporate financing,公司融资,,企业融资,2018-06-26
3543127,corporate investment,公司投资,,企业投资,2018-06-26
3543128,corporate minutes,公司议事录,,nan,2018-06-26
3543129,corresponding figures,连结资讯,,nan,2018-06-26
3543130,corridor,缓冲区,,nan,2018-06-26
3543131,corroborating evidence,验证性证据,,nan,2018-06-26
3543132,corroborating inquiry,验证性查询,,nan,2018-06-26
3543133,cost,成本,,成本,2018-06-26
3543134,cost accounting,成本会计,,成本会计,2018-06-26
3543135,Cost Accounting Standards Board {=CASB},成本会计准则委员会,,nan,2018-06-26
3543136,cost accumulation,成本累积,,nan,2018-06-26
3543137,cost allocation,成本分摊,,nan,2018-06-26
3543138,cost approach,成本法,,nan,2018-06-26
3543139,cost assignment,成本指挀,,nan,2018-06-26
3543140,cost behavior,成本习性,,成本性态,2018-06-26
3543141,cost center,成本中心,,成本中心,2018-06-26
3543142,cost driver,成本动因,,成本动因,2018-06-26
3543143,cost estimation,成本估计,,nan,2018-06-26
3543144,cost formula,成本公式,,nan,2018-06-26
3543145,cost function,成本函数,,nan,2018-06-26
3543146,cost hierarchy,成本层级,,nan,2018-06-26
3543147,cost incurrence,成本实耗,,nan,2018-06-26
3543148,cost leadership,成本领先,,nan,2018-06-26
3543149,cost management,成本管理,,nan,2018-06-26
3543150,cost model,成本模式,,nan,2018-06-26
3543151,cost object,成本标的,,nan,2018-06-26
3543152,cost of an acquisition,取得成本；收购成本,,nan,2018-06-26
3543153,cost of an investment,投资成本,,nan,2018-06-26
3543154,cost of capital,资金成本,,资本成本,2018-06-26
3543155,cost of debt,债务成本,,债务成本,2018-06-26
3543156,cost of equity,权益成本,,权益成本,2018-06-26
3543157,cost of goods manufactured,制成品成本,,nan,2018-06-26
3543158,cost of inventories,存货成本,,nan,2018-06-26
3543159,cost of inventories of a service provider,劳务供应商存货成本,,nan,2018-06-26
3543160,cost of purchase,购买成本,,nan,2018-06-26
3543161,cost of quality {=COQ},品质成本,,质量成本,2018-06-26
3543162,cost of sales method,销货成本法{依功能别划分费用},,nan,2018-06-26
3543163,cost plus contract,成本加成合约,,nan,2018-06-26
3543164,cost pool,成本库,,nan,2018-06-26
3543165,cost predictions,成本预测,,nan,2018-06-26
3543166,cost stickiness,成本僵固性,,成本粘性,2018-06-26
3543167,cost tracing,成本追溯,,nan,2018-06-26
3543168,cost[s] of conversion,加工成本,,nan,2018-06-26
3543169,cost-allocation base,成本分摊基础,,nan,2018-06-26
3543170,cost-application base,成本应用基础,,nan,2018-06-26
3543171,cost-based measurement,成本基础衡量,,nan,2018-06-26
3543172,cost-benefit approach,成本效益法,,nan,2018-06-26
3543173,costs of disposal,处分成本,,nan,2018-06-26
3543174,costs of modifying existing software,修改现有软体之成本,,nan,2018-06-26
3543175,costs to sell,销售费用,,nan,2018-06-26
3543176,cost-volume-profit analysis,成本-数量-利润分析,,本量利分析,2018-06-26
3543177,counterparty,交易对方,,nan,2018-06-26
3543178,country of domicile,所在国家,,nan,2018-06-26
3543179,country of incorporation or residence,公司注册地或所在地之国家,,nan,2018-06-26
3543180,coupon,息票,,nan,2018-06-26
3543181,credit default swap,信用违约交换,,nan,2018-06-26
3543182,credit derivative default product,信用违约衍生商品,,nan,2018-06-26
3543183,credit enhancements,信用增强,,nan,2018-06-26
3543184,credit exposures,信用暴险,,nan,2018-06-26
3543185,credit facilities,信用额度,,nan,2018-06-26
3543186,credit insurance contract,信用保险合约,,nan,2018-06-26
3543187,credit memo,贷项通知单,,nan,2018-06-26
3543188,credit memorandum,贷项通知单,,nan,2018-06-26
3543189,credit period,授信期间,,信用期限,2018-06-26
3543190,credit policy,授信政策,,信用政策,2018-06-26
3543191,credit quality,信用品质,,nan,2018-06-26
3543192,credit risk,信用风险,,nan,2018-06-26
3543193,credit spread,信用价差,,nan,2018-06-26
3543194,credit term,授信条件,,信用条件,2018-06-26
3543195,creditors,债权人,,nan,2018-06-26
3543196,creditworthiness,信用等级；信用程度,,nan,2018-06-26
3543197,criminal liability,刑事责任,,nan,2018-06-26
3543198,criminal liability for accountants,会计师刑事责任,,nan,2018-06-26
3543199,criteria for recognising,认列条件；认列基准,,nan,2018-06-26
3543200,cross-reference,交互索引,,nan,2018-06-26
3543201,cumulative average-time learning model,累积平均时间学习模式,,nan,2018-06-26
3543202,cumulative preference dividends,累积特别股股利,,nan,2018-06-26
3543203,cumulative preference share,累积特别股,,可累计优先股,2018-06-26
3543204,cumulative preferred stock,累积特别股,,可累计优先股,2018-06-26
3543205,cumulative translation differences {=CTDs},累积换算差异数,,nan,2018-06-26
3543206,currency risk,汇率风险；汇兑风险,,nan,2018-06-26
3543207,currency translation,外币换算,,nan,2018-06-26
3543208,currency units,货币单位,,nan,2018-06-26
3543209,current asset[s],流动资产,,流动资产,2018-06-26
3543210,current cost,现时成本,,nan,2018-06-26
3543211,current cost approach,现时成本法,,nan,2018-06-26
3543212,current files,当期档案,,nan,2018-06-26
3543213,current investment,当期投资；本期投资,,nan,2018-06-26
3543214,current liabilities,流动负债,,流动负债,2018-06-26
3543215,current offer price,现时报价,,nan,2018-06-26
3543216,current ratio,流动比率,,流动比率,2018-06-26
3543217,current service cost,当期服务成本；本期服务成本,,nan,2018-06-26
3543218,current tax,当期所得税；本期所得税,,nan,2018-06-26
3543219,curtailment,缩减,,nan,2018-06-26
3543220,cushions,缓冲,,nan,2018-06-26
3543221,customer life-cycle costs,顾客生命周期成本,,nan,2018-06-26
3543222,customer list,客户名单,,nan,2018-06-26
3543223,customer loyalty programmes,客户忠诚计划,,nan,2018-06-26
3543224,customer relationship intangible assets,客户关系无形资产,,nan,2018-06-26
3543225,customer service,顾客服务,,nan,2018-06-26
3543226,customer-cost hierarchy,顾客成本层级,,nan,2018-06-26
3543227,customer-profitability analysis,顾客获利能力分析,,nan,2018-06-26
3543228,customer-response time,顾客反应时间,,nan,2018-06-26
3543229,cutoff,截止,,nan,2018-06-26
3543230,cutoff bank statement,截止日银行对帐单,,nan,2018-06-26
3543231,cutoff misstatements,与截止相关之不实表达；与截止相关之误述,,nan,2018-06-26
3543232,cutoff tests,截止测试,,nan,2018-06-26
3543233,data mining,资料探勘,,nan,2018-06-26
3543234,database,资料库,,nan,2018-06-26
3543235,database management systems,资料库管理系统,,nan,2018-06-26
3543236,date of acquisition,取得日；收购日,,nan,2018-06-26
3543237,date of approval of the financial statements,财务报表核准日,,财务报表批准日,2018-06-26
3543238,date of balance sheet,资产负债表日,,资产负债表日,2018-06-26
3543239,date of exchange,交换日{IFRS 3},,nan,2018-06-26
3543240,date of financial reporting,财务报导日,,财务报表日,2018-06-26
3543241,date of the auditor’s report,查核报告日,,审计报告日,2018-06-26
3543242,date of transition to IFRS,转换为国际财务报导准则之日,,nan,2018-06-26
3543243,date the financial statements are issued,财务报表发布日,,nan,2018-06-26
3543244,days’sales in inventory,存货周转日数；平均销货日数,,存货周转天数,2018-06-26
3543245,days’sales in payables,应付款项付现日数；平均付现日数,,应付账款周转天数,2018-06-26
3543246,days’sales in receivables,应收款项收现日数；平均收现日数,,应收账款周转天数,2018-06-26
3543247,dealing securities,交易目的持有之证券,,nan,2018-06-26
3543248,death benefit,死亡给付,,nan,2018-06-26
3543249,debit memo,借项通知单,,nan,2018-06-26
3543250,debit memorandum,借项通知单,,nan,2018-06-26
3543251,debt,债务,,nan,2018-06-26
3543252,debt capacity,举债能力,,举债能力,2018-06-26
3543253,debt capital,债务资本,,债务资本,2018-06-26
3543254,debt for equity swaps,以债换股,,nan,2018-06-26
3543255,debt instrument,债务工具,,nan,2018-06-26
3543256,debt ratio,负债占资产比率；负债比率,,总资产负债比率,2018-06-26
3543257,debt restructuring,债务重整,,债务重组,2018-06-26
3543258,debt securities,债务证券,,nan,2018-06-26
3543259,debt-to-adjusted capital ratio,负债对调整后资本比率,,nan,2018-06-26
3543260,debt-to-equity ratio,负债对权益之比率；负债权益比,,nan,2018-06-26
3543261,decentralization,分权化,,nan,2018-06-26
3543262,decision model,决策模式,,nan,2018-06-26
3543263,decision table,决策表,,nan,2018-06-26
3543264,decision tree,决策树,,nan,2018-06-26
3543265,decision-useful information,对决策有用之资讯,,nan,2018-06-26
3543266,decommissioning,除役,,nan,2018-06-26
3543267,decommissioning costs,除役成本,,nan,2018-06-26
3543268,decommissioning funds,除役基金,,nan,2018-06-26
3543269,decommissioning obligations,除役义务,,nan,2018-06-26
3543270,"decommissioning, restoration and environmental rehabilitation funds",除役、复原及环境修复基金,,nan,2018-06-26
3543271,deductible temporary difference,可减除暂时性差异,,nan,2018-06-26
3543272,deductible temporary differences,可减除暂时性差异,,可抵扣暂时性差异,2018-06-26
3543273,deemed cost,推定成本,,nan,2018-06-26
3543274,defer,递延,,nan,2018-06-26
3543275,deferral method,递延法,,nan,2018-06-26
3543276,deferred acquisition costs,递延取得成本,,nan,2018-06-26
3543277,deferred annuity,递延年金,,递延年金,2018-06-26
3543278,deferred income,递延收益,,递延收益,2018-06-26
3543279,deferred policy acquisition costs,递延保单取得成本,,nan,2018-06-26
3543280,deferred tax,递延所得税,,nan,2018-06-26
3543281,deferred tax assets,递延所得税资产,,递延所得税资产,2018-06-26
3543282,deferred tax income,递延所得税利益,,nan,2018-06-26
3543283,deferred tax liabilities,递延所得税负债,,递延所得税负债,2018-06-26
3543284,deficiency in internal control,内部控制缺失,,控制缺陷,2018-06-26
3543285,defined benefit liability,确定福利负债,,nan,2018-06-26
3543286,defined benefit obligation,确定福利义务,,nan,2018-06-26
3543287,defined benefit obligation [present value of],确定福利义务,,nan,2018-06-26
3543288,defined benefit plan,确定福利计划,,nan,2018-06-26
3543289,defined contribution plans,确定提拨计划,,nan,2018-06-26
3543290,degree of operating leverage,营运杠杆指数,,nan,2018-06-26
3543291,demand amount,要求即付金额,,nan,2018-06-26
3543292,demand deposits,活期存款,,nan,2018-06-26
3543293,demand feature,要求即付特性,,nan,2018-06-26
3543294,demerger,分割,,nan,2018-06-26
3543295,demonstrably committed,明确承诺,,nan,2018-06-26
3543296,denominator level,基准产能水准,,nan,2018-06-26
3543297,denominator-level variance,基准产能水准差异,,nan,2018-06-26
3543298,dependent variable,依变数,,nan,2018-06-26
3543299,depletable assets,递耗资产,,递耗资产,2018-06-26
3543300,depletion,折耗,,折耗,2018-06-26
3543301,deposit accounting,存款会计,,nan,2018-06-26
3543302,deposit component,储蓄组成部分,,nan,2018-06-26
3543303,depreciable amount,可折旧金额,,nan,2018-06-26
3543304,depreciable assets,折旧性资产,,nan,2018-06-26
3543305,depreciated replacement cost approach,折旧后重置成本法,,nan,2018-06-26
3543306,depreciation,折旧,,nan,2018-06-26
3543307,depreciation expense,折旧费用,,nan,2018-06-26
3543308,depreciation methods,折旧方法,,nan,2018-06-26
3543309,derecognise {a financial instrument},除列{金融工具},,nan,2018-06-26
3543310,derecognition,除列,,nan,2018-06-26
3543311,derivative,衍生[工具],,nan,2018-06-26
3543312,derivative assets,衍生资产,,nan,2018-06-26
3543313,derivative clearing agreements,衍生工具结算协议,,nan,2018-06-26
3543314,derivative features,衍生特性,,nan,2018-06-26
3543315,derivative financial instruments,衍生金融工具,,nan,2018-06-26
3543316,derivative liabilities,衍生负债,,nan,2018-06-26
3543317,design of products and processes,产品及程序设计,,nan,2018-06-26
3543318,design quality,设计品质,,nan,2018-06-26
3543319,designated and effective hedging instrument,被指定且有效之避险工具,,nan,2018-06-26
3543320,designation as at fair value through profit or loss,指定为透过损益按公允价值衡量,,nan,2018-06-26
3543321,designed-in costs,设计既定成本,,nan,2018-06-26
3543322,desired level of assurance,欲达成之确信程度,,nan,2018-06-26
3543323,detection risk,侦测风险；侦查风险,,检查风险,2018-06-26
3543324,detective control,侦测性控制,,发现性控制,2018-06-26
3543325,development,发展,,nan,2018-06-26
3543326,development costs,发展成本,,nan,2018-06-26
3543327,diagnostic control systems,诊断控制系统,,nan,2018-06-26
3543328,difference estimation,差额估计法,,nan,2018-06-26
3543329,differential cost,差异成本,,nan,2018-06-26
3543330,differential revenue,差异收益,,nan,2018-06-26
3543331,digital signatures,数位签章,,nan,2018-06-26
3543332,diluted earnings per share,稀释每股盈余,,稀释每股收益,2018-06-26
3543333,Dilution,稀释,,nan,2018-06-26
3543334,Dilutive effect,稀释作用；稀释效果,,nan,2018-06-26
3543335,Dilutive potential ordinary shares,稀释潜在普通股,,nan,2018-06-26
3543336,diminishing balance method,余额递减法,,nan,2018-06-26
3543337,direct cost,直接成本,,直接成本,2018-06-26
3543338,direct costing,直接成本法,,nan,2018-06-26
3543339,direct costs of a cost object,成本标的之直接成本,,nan,2018-06-26
3543340,direct financial interest,直接财务利益,,nan,2018-06-26
3543341,direct insurance contract,直接保险合约,,nan,2018-06-26
3543342,direct labor,直接人工,,直接人工,2018-06-26
3543343,direct labour,直接人工,,nan,2018-06-26
3543344,direct manufacturing labor costs,直接制造人工成本,,nan,2018-06-26
3543345,direct material costs,直接材料成本,,nan,2018-06-26
3543346,direct materials,直接材料,,直接材料,2018-06-26
3543347,direct materials inventory,直接材料存货,,nan,2018-06-26
3543348,direct materials mix variance,直接材料组合差异,,nan,2018-06-26
3543349,direct materials yield variance,直接材料产出差异,,nan,2018-06-26
3543350,direct method,直接法,,nan,2018-06-26
3543351,direct operating expenses,直接营业费用,,nan,2018-06-26
3543352,direction of testing,测试方向{顺查或逆查},,nan,2018-06-26
3543353,directly attributable,直接归属,,nan,2018-06-26
3543354,directors,董事,,nan,2018-06-26
3543355,disaggregated information,分类资讯,,nan,2018-06-26
3543356,disclaimer of opinion,无法表示意见,,无法表示意见,2018-06-26
3543357,disclose,揭露,,nan,2018-06-26
3543358,disclosure,揭露,,nan,2018-06-26
3543359,disclosure and presentation,揭露与表达,,nan,2018-06-26
3543360,disclosure approach,揭露法,,nan,2018-06-26
3543361,disclosure of government assistance,揭露与表达,,nan,2018-06-26
3543362,disclosure requirement,揭露规定,,nan,2018-06-26
3543363,discontinued {operations},停业{单位},,nan,2018-06-26
3543364,discontinued operation,停业单位,,nan,2018-06-26
3543365,discontinuing operation,停业单位,,nan,2018-06-26
3543366,discount,折现；折让；折价；贴现；折扣,,贴现,2018-06-26
3543367,discount rate,折现率；贴现率,,贴现率,2018-06-26
3543368,discounted cash flow {=DCF} methods,现金流量折现法,,nan,2018-06-26
3543369,discounted payback method,折现回收法,,nan,2018-06-26
3543370,discounted payback period,折现回收期间；折现还本期间,,折现回收期,2018-06-26
3543371,discounting,折现,,nan,2018-06-26
3543372,discretionary accrual,裁决性应计数,,可操控性应计项目,2018-06-26
3543373,discretionary costs,裁决性成本,,nan,2018-06-26
3543374,discretionary expenses,裁量性费用；裁决性费用,,nan,2018-06-26
3543375,discretionary fixed cost,裁决性固定成本,,酌量性固定成本,2018-06-26
3543376,discretionary participation feature,裁量参与特性,,nan,2018-06-26
3543377,disposal consideration,处分对价,,nan,2018-06-26
3543378,disposal group,处分群组,,nan,2018-06-26
3543379,disposal groups as held for distribution to owners,待分配予业主之处分群组,,nan,2018-06-26
3543380,disposal of fixed assets,处分固定资产,,固定资产清理,2018-06-26
3543381,disposal plan,处分计划,,nan,2018-06-26
3543382,disposal transaction,处分交易,,nan,2018-06-26
3543383,distribution,运送,,nan,2018-06-26
3543384,distributions of non-cash assets to owners,分配非现金资产予业主,,nan,2018-06-26
3543385,diversifiable risk,可分散风险,,可分散风险,2018-06-26
3543386,divestiture,撤资,,剥离,2018-06-26
3543387,dividend,股利,,股利,2018-06-26
3543388,dividend coverage ratio,股利保障倍数,,股利保障倍数,2018-06-26
3543389,dividend irrelevance,股利无关论,,股利无关论,2018-06-26
3543390,dividend payout ratio,股利支付率；股利发放率,,股利支付率,2018-06-26
3543391,dividend policy,股利政策,,股利政策,2018-06-26
3543392,dividend tax,股利税,,股利税,2018-06-26
3543393,dividend yield,股利殖利率,,nan,2018-06-26
3543394,dividend yield ratio,股利殖利率,,股利收益率,2018-06-26
3543395,dividend[s],股利,,nan,2018-06-26
3543396,dividends payable,应付股利,,应付股利,2018-06-26
3543397,dividends receivable,应收股利,,应收股利,2018-06-26
3543398,documentation,文件化；书面化,,nan,2018-06-26
3543399,dollar unit sampling,元额抽样,,nan,2018-06-26
3543400,domain name,网域名称,,nan,2018-06-26
3543401,double declining balance depreciation method,倍数余额递减法折旧,,双倍余额递减法,2018-06-26
3543402,double entry bookkeeping,复式簿记,,复式记账法,2018-06-26
3543403,doubtful debts,呆帐,,nan,2018-06-26
3543404,downsizing,缩减规模,,nan,2018-06-26
3543405,downstream transactions,顺流交易,,nan,2018-06-26
3543406,downward demand spiral,恶性需求螺旋循环,,nan,2018-06-26
3543407,draft,汇票,,汇票,2018-06-26
3543408,dual listed corporation,两地挂牌上市公司,,nan,2018-06-26
3543409,dual pricing,双轨计价,,nan,2018-06-26
3543410,dual trigger contract,双重启动合约,,nan,2018-06-26
3543411,dual-date audit report,双重日期查核报告,,nan,2018-06-26
3543412,dual-dated audit report,双重日期查核报告,,nan,2018-06-26
3543413,dual-purpose test,双重目的测试,,nan,2018-06-26
3543414,dual-rate method,双重费率法,,nan,2018-06-26
3543415,due process,适当程序,,nan,2018-06-26
3543416,dumping,倾销,,nan,2018-06-26
3543417,DuPont analysis,杜邦分析法,,杜邦分析体系,2018-06-26
3543418,dysfunctional decision making,机能不良的决策制定,,nan,2018-06-26
3543419,earnings,盈余,,nan,2018-06-26
3543420,earnings contingency,以盈余为基础之或有股份,,nan,2018-06-26
3543421,earnings management,盈余管理,,盈余管理,2018-06-26
3543422,earnings per share {=EPS},每股盈余,,每股收益,2018-06-26
3543423,earnings persistence,盈余持续性,,盈余持续性,2018-06-26
3543424,earnings quality,盈余品质,,盈余质量,2018-06-26
3543425,earnings response coefficient {=ERC},盈余反应系数,,盈余反应系数,2018-06-26
3543426,economic benefits,经济效益；经济利益,,nan,2018-06-26
3543427,economic consequences,经济后果,,nan,2018-06-26
3543428,economic life,经济年限,,nan,2018-06-26
3543429,economic order quantity {=EOQ},经济订购量,,经济订货量,2018-06-26
3543430,economic value added {=EVA},经济附加价值,,经济增加值,2018-06-26
3543431,effect of assumed conversions,假设转换之影响,,nan,2018-06-26
3543432,effective date,生效日,,nan,2018-06-26
3543433,effective interest method,有效利息法,,nan,2018-06-26
3543434,effective interest rate,有效利率,,nan,2018-06-26
3543435,effectiveness,效果,,nan,2018-06-26
3543436,effects of changes in foreign exchange rates,汇率变动之影响,,nan,2018-06-26
3543437,efficiency variance,效率差异,,nan,2018-06-26
3543438,efficient market hypothesis,效率市场假说,,有效市场假说,2018-06-26
3543439,effort,努力,,nan,2018-06-26
3543440,electronic engagement documentation,电子工作底稿,,nan,2018-06-26
3543441,elements of cost of exploration and evaluation assets,探勘及评估资产成本之要素,,nan,2018-06-26
3543442,eligibility conditions,合格条件,,nan,2018-06-26
3543443,eligible for capitalisation,符合资本化条件,,nan,2018-06-26
3543444,eligible hedged items,合格被避险项目,,nan,2018-06-26
3543445,elimination entry,冲销分录；销除分录,,抵消分录,2018-06-26
3543446,elimination of unrealised profits and losses on transactions with associates,关联企业交易未实现损益之消除,,nan,2018-06-26
3543447,embedded audit module approach,嵌入查核模组法,,nan,2018-06-26
3543448,embedded derivative[s],嵌入式衍生工具,,nan,2018-06-26
3543449,embedded prepayment penalties,嵌入式提前还款罚款,,nan,2018-06-26
3543450,emissions trading schemes,气体排放交易方案,,nan,2018-06-26
3543451,employee benefit plan,员工福利计划,,nan,2018-06-26
3543452,employee benefits,员工福利,,nan,2018-06-26
3543453,employee benefits payable,应付员工福利；应付员工给付,,应付职工薪酬,2018-06-26
3543454,employee fraud,员工舞弊,,nan,2018-06-26
3543455,employee share ownership plan,员工入股计划,,nan,2018-06-26
3543456,employee share purchase plan,员工认股计划,,nan,2018-06-26
3543457,employee stock ownership plan {=ESOP},员工持股计划,,员工持股计划,2018-06-26
3543458,employee turnover rates,员工离职率,,nan,2018-06-26
3543459,enactment,制定；通过；颁布,,nan,2018-06-26
3543460,encryption techniques,加密技术,,nan,2018-06-26
3543461,end of the reporting period,报导期间结束日,,nan,2018-06-26
3543462,enforcement of covenants,强制履约,,nan,2018-06-26
3543463,engagement letter,委任书,,业务约定书,2018-06-26
3543464,engagement partner,主办会计师,,nan,2018-06-26
3543465,engagement quality control review,案件品质复核,,项目质量控制复核,2018-06-26
3543466,engagement risk,委任风险,,nan,2018-06-26
3543467,engagement team,查核团队,,nan,2018-06-26
3543468,engineered costs,工程性成本,,nan,2018-06-26
3543469,enhanced disclosure,加强揭露,,nan,2018-06-26
3543470,enterprise,企业,,nan,2018-06-26
3543471,entity,企业；个体,,nan,2018-06-26
3543472,entity-level controls,企业层级控制,,nan,2018-06-26
3543473,entity-specific value,企业特定价值,,nan,2018-06-26
3543474,entry price,进入价格,,nan,2018-06-26
3543475,environmental management accounting,环境管理会计,,环境管理会计,2018-06-26
3543476,environmental obligations,环境义务,,nan,2018-06-26
3543477,equalisation provisions,平稳负债准备,,nan,2018-06-26
3543478,equity,权益,,nan,2018-06-26
3543479,equity capital,权益资本,,权益资本,2018-06-26
3543480,equity carve-out,权益分割,,分拆上市,2018-06-26
3543481,equity compensation benefits {stock or share compensation benefits},权益奖酬福利{即股票或股份奖酬福利},,nan,2018-06-26
3543482,equity compensation plans {share or stock compensation plans},权益奖酬计划{即股份或股票奖酬计划},,nan,2018-06-26
3543483,equity component,权益组成部分,,nan,2018-06-26
3543484,equity holders,权益持有人,,nan,2018-06-26
3543485,equity index,股价指数,,nan,2018-06-26
3543486,equity instrument,权益工具,,nan,2018-06-26
3543487,equity interests,权益；权益所有权,,nan,2018-06-26
3543488,equity issue,发行权益,,nan,2018-06-26
3543489,equity method,权益法,,nan,2018-06-26
3543490,equity multiplier,权益乘数,,权益乘数,2018-06-26
3543491,equity securities,权益证券,,nan,2018-06-26
3543492,equity-settled share-based payment transaction,权益交割之股份基础给付交易,,nan,2018-06-26
3543493,equivalent annual cost {=EAC},约当年金成本,,约当年均成本,2018-06-26
3543494,equivalent units,约当单位；约当产量,,约当产量,2018-06-26
3543495,error,错误,,nan,2018-06-26
3543496,estimated costs,估计成本,,nan,2018-06-26
3543497,estimated future cash flows,估计未来现金流量,,nan,2018-06-26
3543498,estimated population exception rate,估计母体偏差率,,nan,2018-06-26
3543499,European share option,欧式股票选择权,,nan,2018-06-26
3543500,evaluation of internal control,内部控制评估,,内部控制评价,2018-06-26
3543501,event,事件,,nan,2018-06-26
3543502,event-driven fair value measurements,事件驱动之公允价值衡量,,nan,2018-06-26
3543503,events after the balance sheet date,期后事项,,资产负债表日后事项,2018-06-26
3543504,events after the reporting period,期后事项,,nan,2018-06-26
3543505,events occurring after the balance sheet date,资产负债表日后发生之事项,,nan,2018-06-26
3543506,eventual recipients,最终收受者,,nan,2018-06-26
3543507,evidence,证据,,nan,2018-06-26
3543508,evidence mix,证据组合,,nan,2018-06-26
3543509,evidence of impairment,减损[之]证据,,nan,2018-06-26
3543510,examination,专案审查,,nan,2018-06-26
3543511,exception rate,偏差率,,nan,2018-06-26
3543512,exchange difference,兑换差额,,nan,2018-06-26
3543513,exchange of assets,资产交换,,nan,2018-06-26
3543514,exchange of non-monetary assets,非货币性资产交换,,非货币性资产交换,2018-06-26
3543515,exchange rate,汇率,,nan,2018-06-26
3543516,exchange transaction,交换交易,,nan,2018-06-26
