ID,英文名稱,中文名稱,圖片,中國大陸譯名,類別,更新日期
2907238,clean letter of credit,光票信用状,,光票信用证,国际企业组,2017-03-23
2907239,clean receipt,无瑕疵收据,,清洁收据,国际企业组,2017-03-23
2907240,clearance certificate,结关单,,结关单,国际企业组,2017-03-23
2907241,clearance fee,结关手续费,,结关手续费,国际企业组,2017-03-23
2907242,clearing agent,报关行,,报关结算代理商,国际企业组,2017-03-23
2907243,clearing agreement,清算协定,,清算协定,国际企业组,2017-03-23
2907244,clearing bank,清算银行,,清算银行,国际企业组,2017-03-23
2907246,clearing house in future market,期货市场结算所,,期货市场清算所,国际企业组,2017-03-23
2907247,clearing price,清算价格,,清算价格,国际企业组,2017-03-23
2907248,clearing system,清算制度,,清算制度,国际企业组,2017-03-23
2907249,closed indent,限制委托购买,,限定订货单,国际企业组,2017-03-23
2907250,closed investment company,封闭型投资公司,,不公开招股投资公司,国际企业组,2017-03-23
2907251,closed mortgage,限额抵押,,封闭式抵押；限额抵押,国际企业组,2017-03-23
2907252,closed policy,封闭型保险单,,闭口保险单,国际企业组,2017-03-23
2907253,closed position,平仓；结清部位,,平仓,国际企业组,2017-03-23
2907254,closed-end fund,封闭基金,,限额基金,国际企业组,2017-03-23
2907255,closed-end mutual fund,封闭型共同基金,,封闭式共同基金,国际企业组,2017-03-23
2907256,closing price,收盘价,,收盘价,国际企业组,2017-03-23
2907257,closing rate,收盘汇率,,收盘汇率,国际企业组,2017-03-23
2907258,co-acceptor,共同承兑人,,共同承兑人,国际企业组,2017-03-23
2907259,co-assurer,共同承保人,,共同承保人,国际企业组,2017-03-23
2907260,COD bill,货到付款帐单,,货到付款账单,国际企业组,2017-03-23
2907261,COD certificate,货到付款证明,,货到付款证,国际企业组,2017-03-23
2907262,COD commission,货到付款手续费,,货到付款手续费,国际企业组,2017-03-23
2907263,COD price,货到付款价格,,货到付款价格,国际企业组,2017-03-23
2907264,COD sale,货到付款销售,,货到付款销售,国际企业组,2017-03-23
2907265,co-guarantor,共同担保人,,共同担保人,国际企业组,2017-03-23
2907266,co-insurance,共同保险,,共同保险,国际企业组,2017-03-23
2907267,co-insurer,共同承保商,,共同承保商,国际企业组,2017-03-23
2907268,collars,利率上下限债券,,封顶保底期权,国际企业组,2017-03-23
2907269,collateralized mortgage obligation,有担保抵押债权,,有担保抵押债务,国际企业组,2017-03-23
2907270,collection agency,托收代理行,,托收代理行,国际企业组,2017-03-23
2907271,collection bank,托收银行,,托收银行,国际企业组,2017-03-23
2907272,collection bill,托收票据,,托收票据,国际企业组,2017-03-23
2907273,combined balance sheet,合并资产负债表,,合并资产负债表,国际企业组,2017-03-23
2907274,combined certificate of value and origin,货物价值和原产地综合证书,,货物价值和原产地综合证书,国际企业组,2017-03-23
2907275,commercial acceptance bill,商业承兑汇票,,商业承兑汇票,国际企业组,2017-03-23
2907276,commercial arbitration,商务仲裁,,商事仲裁,国际企业组,2017-03-23
2907277,commercial banking,商业银行业务,,商业银行业务,国际企业组,2017-03-23
2907278,commercial bill,商业票据,,商业票据,国际企业组,2017-03-23
2907279,commercial bill of exchange,商业汇票,,商业汇票,国际企业组,2017-03-23
2907280,commercial documentary letter of credit,跟单信用状,,商业跟单信用证,国际企业组,2017-03-23
2907281,commercial law,商法,,商法,国际企业组,2017-03-23
2907282,commercial letter of credit,商业信用证,,商业信用证,国际企业组,2017-03-23
2907283,commercial loan,商业贷款,,商业贷款,国际企业组,2017-03-23
2907284,commercial paper market,商业本票市场,,商业票据市场,国际企业组,2017-03-23
2907285,commercial paper rate,商业本票利率,,商业票据利率,国际企业组,2017-03-23
2907286,Commission on International Commodity Trade,国际商品贸易委员会,,国际商品交易委员会,国际企业组,2017-03-23
2907287,Committee for European Economic Cooperation,欧洲经济合作委员会,,欧洲经济合作委员会,国际企业组,2017-03-23
2907288,Committee on Reform of the International Monetary System,国际货币制度改革委员会,,国际货币制度改革委员会,国际企业组,2017-03-23
2907289,commodity arbitrage,商品套利,,商品套利,国际企业组,2017-03-23
2907290,commodity classification for foreign trade statistics,国际贸易商品分类统计,,进出口商品分类统计表,国际企业组,2017-03-23
2907291,commodity exchange,商品交易所,,商品交易[所],国际企业组,2017-03-23
2907292,Commodity Exchange of New York,纽约商品交易所,,纽约商品交易所,国际企业组,2017-03-23
2907293,commodity futures,商品期货,,商品期货,国际企业组,2017-03-23
2907294,commodity futures exchange,商品期货交易所,,商品期货交易所,国际企业组,2017-03-23
2907295,commodity money,商品货币,,商品货币,国际企业组,2017-03-23
2907296,commodity terms of trade,商品贸易条件,,商品贸易条件,国际企业组,2017-03-23
2907297,commodity theory of money,货币的商品理论,,商品货币理论,国际企业组,2017-03-23
2907298,common customs tariff,共同关税,,共同关税,国际企业组,2017-03-23
2907299,common external tariff,共同关税,,共同对外关税,国际企业组,2017-03-23
2907300,common market,共同市场,,共同市场,国际企业组,2017-03-23
2907302,company limited by share,股份有限公司,,股份有限公司,国际企业组,2017-03-23
2907303,compensation duty,补偿关税,,补偿关税,国际企业组,2017-03-23
2907304,compensation import,补偿性进口,,补偿性进口,国际企业组,2017-03-23
2907305,competitive bid,竞标,,公开招标；竞标,国际企业组,2017-03-23
2907306,competitive depreciation,[货币的]竞争性贬值,,[货币的]竞争性贬值,国际企业组,2017-03-23
2907307,competitive tariff,竞争性关税,,竞争性关税,国际企业组,2017-03-23
2907308,competitive tender,公开投标,,公开投标,国际企业组,2017-03-23
2907309,complex tariff,复合关税；复式税则,,复合税率,国际企业组,2017-03-23
2907310,composite economic indicator,综合经济指标,,综合经济指标,国际企业组,2017-03-23
2907311,compound arbitrage,多角套利,,多角套汇；复合套汇,国际企业组,2017-03-23
2907312,compound discount,复利折现,,复利贴现,国际企业组,2017-03-23
2907313,compound duty,复合关税,,复合关税,国际企业组,2017-03-23
2907314,compound option,复合选择权,,复式期权,国际企业组,2017-03-23
2907315,compound rate,复利率,,复利率,国际企业组,2017-03-23
2907316,compound tariff,复合关税,,复合关税税率,国际企业组,2017-03-23
2907317,compound yield,复利收益率,,复合收益率,国际企业组,2017-03-23
2907318,comprehensive most-favoured nation clause,全面最惠国条款,,全面最惠国条款,国际企业组,2017-03-23
2907319,concession of tariff,关税减让,,关税减让,国际企业组,2017-03-23
2907320,conditional bill of lading,附条件提单,,有条件提单,国际企业组,2017-03-23
2907321,conditional bond,附条件债券,,附条件债券,国际企业组,2017-03-23
2907322,conditional drawing right,附条件提款权,,有条件提款权,国际企业组,2017-03-23
2907323,conditional endorsement,附条件背书,,有条件背书,国际企业组,2017-03-23
2907324,conditional most-favored-nation treatment,附条件最惠国待遇,,附条件最惠国待遇,国际企业组,2017-03-23
2907325,conditional offer,附条件报价,,附条件发盘,国际企业组,2017-03-23
2907326,conditional sale,附条件销售,,附条件销售,国际企业组,2017-03-23
2907327,confirmation of order,订单确认书,,订单确认书,国际企业组,2017-03-23
2907328,confirmatory bank,保兑银行,,nan,国际企业组,2017-03-23
2907329,confirmed [negotiation] L/C,保兑[让购]信用状,,确认议付信用证,国际企业组,2017-03-23
2907330,confirmed credit,保兑信用状,,保兑信用证,国际企业组,2017-03-23
2907331,confirmed irrevocable credit,不可撤销保兑信用状,,不可撤销保兑信用证,国际企业组,2017-03-23
2907332,confirming bank,保兑银行,,保兑银行,国际企业组,2017-03-23
2907333,confirming house,保兑银行,,保付商行,国际企业组,2017-03-23
2907334,confirming order,确认书,,保付书,国际企业组,2017-03-23
2907336,consignment,寄售,,nan,国际企业组,2017-03-23
2907337,consignment business,寄售业务,,寄售业,国际企业组,2017-03-23
2907338,consignment invoice,寄售发票,,托售发票,国际企业组,2017-03-23
2907339,consolidated balance sheet,合并资产负债表,,合并资产负债表,国际企业组,2017-03-23
2907340,Consolidated Bond,统一公债,,统一公债,国际企业组,2017-03-23
2907341,Consolidated Stock,统一公债,,统一公债,国际企业组,2017-03-23
2907342,consortium bank,银行团,,国际财团银行,国际企业组,2017-03-23
2907343,constructive total loss,推定全损,,推定全损,国际企业组,2017-03-23
2907344,consumer credit,消费者贷款,,消费信贷,国际企业组,2017-03-23
2907345,consumer loan,消费贷款；消费者贷款,,消费贷款,国际企业组,2017-03-23
2907346,contango rate,期货溢价率,,升水率,国际企业组,2017-03-23
2907347,continental depositary receipt,欧陆定存单,,欧洲大陆收据存单,国际企业组,2017-03-23
2907348,contraband goods,违禁品,,nan,国际企业组,2017-03-23
2907349,contract bond,履约保证金,,履约保证金,国际企业组,2017-03-23
2907350,control of export quantum,出口数量管制,,出口数量管制,国际企业组,2017-03-23
2907351,control of foreign exchange,外汇管制,,外汇管制,国际企业组,2017-03-23
2907352,controlling company,控股公司,,控股公司,国际企业组,2017-03-23
2907353,conventional duty,协定关税,,协定关税,国际企业组,2017-03-23
2907354,conventional tariff system,协定税则制,,协定税则制,国际企业组,2017-03-23
2907355,conversion at parity {=conversion at par},平价兑换,,兑换平价,国际企业组,2017-03-23
2907356,conversion price,转换价格,,兑换价格,国际企业组,2017-03-23
2907357,convertible bond,可转换债券；可转换公司债,,可转换债券,国际企业组,2017-03-23
2907359,convertible currency,可兑换货币,,可自由兑换通货,国际企业组,2017-03-23
2907361,Coordinating Committee for Export Controls {=COCOM},出口管制统筹委员会,,出口管制统筹委员会,国际企业组,2017-03-23
2907362,Coordinating Committee for Export Controls {=COCOM},出口管制协调委员会,,出口管制统筹委员会,国际企业组,2017-03-23
2907363,corporate bond,公司债,,公司债券,国际企业组,2017-03-23
2907364,correspondent bank,通汇银行,,nan,国际企业组,2017-03-23
2907365,correspondent bank,通汇银行,,代理银行,国际企业组,2017-03-23
2907366,"cost, insurance ＆ freight {=C.I.F}",到岸价格,,到岸价格,国际企业组,2017-03-23
2907367,"cost, insurance, freight net",成本、保费加运费净价,,到岸价格净价,国际企业组,2017-03-23
2907368,Council for Mutual Economic Aid {=CMEA},经济互助委员会,,经济互助委员会,国际企业组,2017-03-23
2907369,Council for Mutual Economic Aid {=CMEA},经济互助理事会,,经济互助委员会,国际企业组,2017-03-23
2907370,counter letter of credit,对开信用状,,对开信用证,国际企业组,2017-03-23
2907371,counter offer,还价,,还盘,国际企业组,2017-03-23
2907372,counter trade,相对贸易,,对销贸易,国际企业组,2017-03-23
2907373,counterpart fund,相对基金,,对等基金,国际企业组,2017-03-23
2907374,countervailing credit,转开信用状,,对销信用证,国际企业组,2017-03-23
2907375,countervailing duty,平衡税,,反补贴税；抵销关税,国际企业组,2017-03-23
2907376,countervailing subsidy,平衡补贴,,反倾销补贴,国际企业组,2017-03-23
2907377,country of origin mark,原产国标志,,原产国标志,国际企业组,2017-03-23
2907378,country quota,国家配额,,国别配额,国际企业组,2017-03-23
2907379,coupon,息票；折价券,,息票,国际企业组,2020-03-24
2907381,coupon payable,应付息票,,应付[债券]息票,国际企业组,2017-03-23
2907383,covered interest arbitrage,无风险套利,,套利交易,国际企业组,2017-03-23
2907384,crawling peg,爬行钉住汇率,,蠕动钉住汇率,国际企业组,2017-03-23
2907385,credit bank,信贷银行,,信贷银行,国际企业组,2017-03-23
2907386,credit bill,收帐汇票,,信用汇票,国际企业组,2017-03-23
2907387,credit insurance,信用保险,,信用保险,国际企业组,2017-03-23
2907388,credit rating agency,信用评比机构,,信用评级机构,国际企业组,2017-03-23
2907389,credit risk,信用风险,,信用风险,国际企业组,2017-03-23
2907390,credit squeeze,银根紧绷,,信贷紧缩,国际企业组,2017-03-23
2907391,cross hedging,交叉避险,,交叉套期保值,国际企业组,2017-03-23
2907392,cross offer,交叉报价,,交叉发盘,国际企业组,2017-03-23
2907393,cross rate of exchange,交叉汇率,,交叉汇率,国际企业组,2017-03-23
2907394,cross trade,多角贸易,,套购套售交易,国际企业组,2017-03-23
2907395,currency appreciation,货币升值,,货币升值,国际企业组,2017-03-23
2907396,currency arbitrage,套汇,,套汇,国际企业组,2017-03-23
2907397,currency bond,货币债券,,货币债券通货债券,国际企业组,2017-03-23
2907398,currency convertibility,货币可兑换性,,货币的可兑换性,国际企业组,2017-03-23
2907399,currency depreciation,货币贬值,,货币贬值,国际企业组,2017-03-23
2907401,currency indebtedness,货币债务,,货币债务,国际企业组,2017-03-23
2907402,currency of settlement,清算通货,,结算货币,国际企业组,2017-03-23
2907404,currency risk,通货风险,,货币风险,国际企业组,2017-03-23
2907406,currency speculation,货币投机,,货币投机,国际企业组,2017-03-23
2907407,currency system,货币制度,,货币制度,国际企业组,2017-03-23
2907408,current account,经常帐,,经常账户赤字,国际企业组,2017-03-23
2907409,current capital,流动资本,,流动资本,国际企业组,2017-03-23
2907410,current debt,流动负债,,短期债务,国际企业组,2017-03-23
2907411,current rate of exchange,当日汇率,,当日汇率,国际企业组,2017-03-23
2907412,custom [house] broker,报关行,,报关行,国际企业组,2017-03-23
2907413,customary practice in international trade,国际贸易惯例,,国际贸易惯例,国际企业组,2017-03-23
2907414,customary price,习惯价格,,[国际贸易中的]惯例价格,国际企业组,2017-03-23
2907415,customs agency,报关代理人,,报关代理行,国际企业组,2017-03-23
2907416,customs barrier,关税壁垒,,关税壁垒,国际企业组,2017-03-23
2907417,customs clearance fee,报关费,,结关费,国际企业组,2017-03-23
2907418,customs clearing charge,报关费,,报关费,国际企业组,2017-03-23
2907419,customs clearing procedure for export,出口报关手续,,出口报关手续,国际企业组,2017-03-23
2907420,Customs Cooperation Council {=CCC},关税合作理事会,,关税合作理事会,国际企业组,2017-03-23
2907421,Customs Cooperation Council {=CCC},关税合作理事会,,关税合作理事会,国际企业组,2017-03-23
2907422,customs debenture,海关退税证明书,,报关退税凭单,国际企业组,2017-03-23
2907423,customs declaration,报关单,,报关单,国际企业组,2017-03-23
2907424,customs drawback,海关退税,,海关退税,国际企业组,2017-03-23
2907425,customs duty,关税,,关税,国际企业组,2017-03-23
2907426,customs fee and charge,海关税费,,关税费用,国际企业组,2017-03-23
2907427,customs free depot,海关免税仓库,,海关免税仓库,国际企业组,2017-03-23
2907428,customs free industrial zone,免税工业园区,,免税工业园区,国际企业组,2017-03-23
2907429,customs guarantee system,海关担保制度,,海关担保制度,国际企业组,2017-03-23
2907430,customs house,海关,,海关,国际企业组,2017-03-23
2907431,customs import tariff,海关进口税则,,海关进口税则,国际企业组,2017-03-23
2907432,customs inspection,验关,,海关检查,国际企业组,2017-03-23
2907433,customs invoice,海关发票,,海关发票,国际企业组,2017-03-23
2907434,customs permit,海关许可证,,海关许可证,国际企业组,2017-03-23
2907435,customs tariff,关税税则,,关税税则,国际企业组,2017-03-23
2907436,customs union,关税同盟,,关税同盟,国际企业组,2017-03-23
2907437,date bill,远期汇票,,远期汇票,国际企业组,2017-03-23
2907438,dead loan,呆帐；倒帐,,呆滞贷款,国际企业组,2017-03-23
2907439,deadline delivery date {=DDD},最后交货日期,,最后交货日期,国际企业组,2017-03-23
2907440,dealer bank,公债指定银行,,自营银行,国际企业组,2017-03-23
2907441,debenture,信用债券,,债券,国际企业组,2017-03-23
2907442,debenture capital,借入资本；债券资本,,债券资本,国际企业组,2017-03-23
2907443,debenture certificate,退税凭证,,nan,国际企业组,2017-03-23
2907444,debenture trust,债券信托,,债券信托,国际企业组,2017-03-23
2907445,debit advice,借项通知单,,借项通知单,国际企业组,2017-03-23
2907446,debt instrument,债务工具,,债务证券,国际企业组,2017-03-23
2907447,debt restructuring,债务重组,,债务重组,国际企业组,2017-03-23
2907448,declaration at customs,报关,,报关,国际企业组,2017-03-23
2907449,declaration for export,出口报单,,出口申报单,国际企业组,2017-03-23
2907450,declaration for import,进口报单,,进口申报单,国际企业组,2017-03-23
2907451,declaration for warehouse,进仓申报单,,进关栈报单,国际企业组,2017-03-23
2907452,declaration of origin,原产地声明书,,原产地申报,国际企业组,2017-03-23
2907453,deed of trust,信托契约,,信托契约,国际企业组,2017-03-23
2907454,default clause,违约条款,,违约条款,国际企业组,2017-03-23
2907455,default premia,违约溢价,,违约溢价,国际企业组,2017-03-23
2907456,deferred bond,递延债券；加息债券,,递延债券,国际企业组,2017-03-23
2907457,deferred delivery,延期交货,,延期交货,国际企业组,2017-03-23
2907458,deferred payment,延期付款,,延期付款,国际企业组,2017-03-23
2907459,deferred sight credit,延付即期信用状,,延付即期信用证,国际企业组,2017-03-23
2907460,definitive bond,确定债券,,正式债券,国际企业组,2017-03-23
2907461,del credere contract,保信契约,,保证付款合同,国际企业组,2017-03-23
2907462,delegation of authority,授权,,授权,国际企业组,2017-03-23
2907463,deliver goods against surrender of the document,凭单交货,,凭单交货,国际企业组,2017-03-23
2907464,delivered at frontier,边境交货条件,,边境交货价,国际企业组,2017-03-23
2907465,delivered duty paid {=DDP},税迄交货条件,,完税后交货,国际企业组,2017-03-23
2907466,delivered price,到货价格,,交货价格,国际企业组,2017-03-23
2907467,delivery advice,交货通知,,交货通知,国际企业组,2017-03-23
2907468,delivery against acceptance,承兑交货,,承兑交货,国际企业组,2017-03-23
2907469,delivery against payment,付款交货,,付款交货,国际企业组,2017-03-23
2907470,demand bill,即期汇票,,即期汇票,国际企业组,2017-03-23
2907471,demand draft,即期汇票,,即期汇票,国际企业组,2017-03-23
2907472,demand line credit,即期信用额度,,即期信用额度,国际企业组,2017-03-23
2907473,demand loan,活期贷款,,活期贷款,国际企业组,2017-03-23
2907474,demand note,即期票据,,即期票据,国际企业组,2017-03-23
2907475,demand obligation,即期债务,,即期债务,国际企业组,2017-03-23
2907476,demand promissory note,即期本票,,即期本票,国际企业组,2017-03-23
2907477,deposit at sight,即期存款,,即期存款,国际企业组,2017-03-23
2907478,deposit bank,存款银行,,存款银行,国际企业组,2017-03-23
2907479,deposit floatation,浮存,,nan,国际企业组,2017-03-23
2907480,deregulation,解除管制,,放松管制,国际企业组,2017-03-23
2907481,derivative product,衍生性商品,,衍生产品,国际企业组,2017-03-23
2907482,designated bank,指定银行,,指定银行,国际企业组,2017-03-23
2907483,designated bonded area,指定保税地区,,指定保税地区,国际企业组,2017-03-23
2907484,Deutsche Terminborse {=DTB},德意志期货交易所,,德意志期货交易所,国际企业组,2017-03-23
2907485,Deutschemark,德国马克,,西德马克,国际企业组,2017-03-23
2907486,devaluation of currency,货币贬值,,货币贬值,国际企业组,2017-03-23
2907487,devaluation of exchange rate,汇率贬值,,汇率贬值,国际企业组,2017-03-23
2907488,development bank,开发银行,,开发银行,国际企业组,2017-03-23
2907489,differential duty,差别关税,,差别关税,国际企业组,2017-03-23
2907490,differential treatment,差别待遇,,差别待遇,国际企业组,2017-03-23
2907491,Dillon Round,狄龙回合,,狄龙回合,国际企业组,2017-03-23
2907492,direct arbitrage,直接套利,,直接套利,国际企业组,2017-03-23
2907493,direct bill,直接汇票,,直接汇票,国际企业组,2017-03-23
2907494,direct exchange,直接汇兑,,直接汇兑,国际企业组,2017-03-23
2907495,direct foreign investment,直接对外投资；直接外人投资,,直接对外投资,国际企业组,2017-03-23
2907496,direct investment,直接投资,,直接投资,国际企业组,2017-03-23
2907497,direct letter of credit,直接信用状,,直接信用证,国际企业组,2017-03-23
2907498,direct loan,直接贷款,,直接贷款,国际企业组,2017-03-23
2907499,direct quotation,直接报价,,直接标价,国际企业组,2017-03-23
2907500,direct trade,直接贸易,,直接贸易,国际企业组,2017-03-23
2907501,dirty floating,肮脏浮动,,受限制浮动；肮脏浮动,国际企业组,2017-03-23
2907502,disbursement voucher,支付传票,,支付凭单,国际企业组,2017-03-23
2907503,discount bank,贴现银行,,贴现银行,国际企业组,2017-03-23
2907504,discount broker,贴现经纪人,,贴现经纪人,国际企业组,2017-03-23
2907505,discount charge,贴现费用,,贴现费用,国际企业组,2017-03-23
2907506,discount loan,贴现贷款,,贴现贷款,国际企业组,2017-03-23
2907507,discount market,贴现市场,,贴现市场,国际企业组,2017-03-23
2907508,discount rate,贴现率；折现率,,贴现率；折扣率,国际企业组,2020-03-27
2907509,discounted bill,贴现票据,,已贴现票据,国际企业组,2017-03-23
2907511,discretionary monetary policy,权衡性货币政策,,自由货币政策,国际企业组,2017-03-23
2907512,discriminating duty,差别关税,,歧视性关税,国际企业组,2020-03-26
2907513,discriminating tariff,差别关税,,差别关税,国际企业组,2020-03-26
2907514,discriminative price,差别价格,,差别价格,国际企业组,2017-03-23
2907515,discriminatory barrier,歧视性壁垒,,歧视性壁垒,国际企业组,2017-03-23
2907517,dishonoured cheque,空头支票,,拒付支票；空头支票,国际企业组,2017-03-23
2907518,disposal credit,银行偿还信用状,,偿还信用证,国际企业组,2017-03-23
2907520,dividend rate,股息率；配股率,,股息率,国际企业组,2017-03-23
2907521,document against acceptance {=D/A},承兑交单,,承兑交单,国际企业组,2017-03-23
2907522,document against payment {=D/P},付款交单,,付款交单,国际企业组,2017-03-23
2907523,document against payment after sight,远期付款交单,,远期付款交单,国际企业组,2017-03-23
2907524,document against payment at sight,即期付款交单,,即期付款交单,国际企业组,2017-03-23
2907525,document against trust receipt,凭信托收据交单,,凭信托收据交单,国际企业组,2017-03-23
2907526,documentary bill [of exchange],跟单汇票,,跟单汇票,国际企业组,2017-03-23
2907527,documentary clean bill,光票；无跟单汇票,,跟单光票,国际企业组,2017-03-23
2907528,documentary collection,跟单托收,,跟单托收,国际企业组,2017-03-23
2907529,documentary credit [L/C],跟单信用状,,押汇信用证,国际企业组,2017-03-23
2907530,documentary import bill,进口跟单汇票,,进口跟单汇票,国际企业组,2017-03-23
2907531,documentary payment bill,跟单付款汇票,,现付押汇票,国际企业组,2017-03-23
2907532,documentary remittance,跟单汇款,,跟单汇兑,国际企业组,2017-03-23
2907533,dollar parity,美元平价,,美元平价,国际企业组,2017-03-23
2907534,dollar premium,美元溢价,,美元溢价,国际企业组,2017-03-23
2907535,domestic credit,国内信用状,,国内信用证,国际企业组,2017-03-23
2907536,domicile bill,付款地汇票,,外埠付款票据；间接汇票,国际企业组,2017-03-23
2907537,double endorsement,双重背书,,双重背书,国际企业组,2017-03-23
2907538,double tariff,双税则,,双重关税,国际企业组,2017-03-23
2907539,double taxation,双重课税；重复课税,,双重课税,国际企业组,2017-03-23
2907540,Dow Jones Industrial Average,道琼工业平均指数,,道•琼斯股票价格指数,国际企业组,2017-03-23
2907541,draft at sight,即期汇票,,即期汇票,国际企业组,2017-03-23
2907542,draft for collection,托收汇票,,托收汇票,国际企业组,2017-03-23
2907543,draft with recourse,有追索权的汇票,,有追索权的汇票,国际企业组,2017-03-23
2907544,draft without recourse,无追索权的汇票,,无追索权的汇票,国际企业组,2017-03-23
2907545,drawback for duty paid,退税,,退税,国际企业组,2017-03-23
2907546,Drawing Rights of International Monetary Funds,国际货币基金会提款权,,国际货币基金组织提款权,国际企业组,2017-03-23
2907547,dual banking system,双轨制银行体系,,双重银行制度,国际企业组,2017-03-23
2907548,dual exchange rate,双重汇率,,双重汇率,国际企业组,2017-03-23
2907549,dual exchange rate system,双重汇率制,,双重汇率制,国际企业组,2017-03-23
2907550,dual official rate system,双重法定汇率制度,,双重法定汇率制度,国际企业组,2017-03-23
2907551,dual valuation,双重保额,,[海运保险中的]船舶双重估值,国际企业组,2017-03-23
2907552,due bill,到期汇票,,到期汇票,国际企业组,2017-03-23
2907553,due to bank,同业存款,,应付银行款,国际企业组,2017-03-23
2907555,dumping duty,倾销关税,,倾销关税,国际企业组,2017-03-23
2907556,dutiable goods,应税货物,,应税货物,国际企业组,2017-03-23
2907557,dynamic hedging,动态对冲,,动态套期保值,国际企业组,2017-03-23
2907558,earning rate,收益率,,收益率,国际企业组,2017-03-23
2907559,East-West Trade,东西贸易,,东西贸易,国际企业组,2017-03-23
2907560,Economic and Monetary Union of the European Community,欧洲经济与货币联盟,,欧洲经济与货币联盟,国际企业组,2017-03-23
2907561,Economic and Social Council {=ECOSOC},[联合国]经济及社会理事会,,[联合国]经济社会理事会,国际企业组,2017-03-23
2907562,Economic and Social Council {=ECOSOC},[联合国]经济社会理事会,,[联合国]经济及社会理事会,国际企业组,2017-03-23
2907563,Economic Commission for Africa {=ECA},[联合国]非洲经济委员会,,[联合国]非洲经济委员会,国际企业组,2017-03-23
2907564,Economic Commission for Asia and the Far East {=ECAFE},[联合国]亚洲及远东经济委员会,,[联合国]亚洲及远东经济委员会,国际企业组,2017-03-23
2907565,Economic Commission for Europe {=ECE},[联合国]欧洲经济委员会,,[联合国]欧洲经济委员会,国际企业组,2017-03-23
2907566,Economic Commission for Latin America {=ECLA},[联合国]拉丁美洲经济委员会,,[联合国]拉丁美洲经济委员会,国际企业组,2017-03-23
2907568,Economic Commission for West Asia {=ECWA},[联合国]西亚经济委员会,,[联合国]西亚经济委员会,国际企业组,2017-03-23
2907569,economic community,经济共同体,,经济共同体,国际企业组,2017-03-23
2907570,economic dependency ratio,经济依存度,,经济依赖度,国际企业组,2017-03-23
2907571,economic efficiency,经济效率,,经济效率,国际企业组,2017-03-23
2907572,economic interdependency,经济相互依存度,,经济相互依存度,国际企业组,2017-03-23
2907573,economic sanction,经济制裁,,经济制裁,国际企业组,2017-03-23
2907574,economic union,经济同盟,,经济同盟,国际企业组,2017-03-23
2907575,effective exchange rate,有效汇率,,实际汇率,国际企业组,2017-03-23
2907576,effective interest rate,有效利率,,实际利率,国际企业组,2017-03-23
2907577,effective tax rate,有效税率,,实际税率,国际企业组,2017-03-23
2907578,effective yield,有效收益,,实际收益,国际企业组,2017-03-23
2907579,elastic fiduciary issue system,弹性信用发行制度,,弹性信用发行制度,国际企业组,2017-03-23
2907580,elastic tariff,弹性关税,,弹性关税,国际企业组,2017-03-23
2907581,elasticity approach to balance of payments,国际收支的弹性分析法,,国际收支的弹性分析方法,国际企业组,2017-03-23
2907582,elasticity of export and import,进出口弹性,,进出口弹性,国际企业组,2017-03-23
2907583,elasticity of export supply,出口供给弹性,,出口供给弹性,国际企业组,2017-03-23
2907584,elasticity of import demand,进口需求弹性,,进口需求弹性,国际企业组,2017-03-23
2907585,electronic commerce,电子商务,,电子商务,国际企业组,2017-03-23
2907586,electronic fund transfer {=EFT},电子资金转帐,,电子资金转账,国际企业组,2017-03-23
2907587,eligible bill,合格票据,,合法票据,国际企业组,2017-03-23
2907588,embargo,禁运,,贸易禁运,国际企业组,2017-03-23
2907589,emergency tariff,紧急关税,,紧急关税,国际企业组,2017-03-23
2907590,endorsed bill,背书票据,,背书票据,国际企业组,2017-03-23
2907591,endorsed bond,背书担保债券,,背书债券,国际企业组,2017-03-23
2907592,endorsement in blank,空白背书,,空白背书,国际企业组,2017-03-23
2907593,endorsement in full,全名背书；记名背书；特别背书,,全名背书；记名背书,国际企业组,2017-03-23
2907594,endorsement in pledge,质权背书,,抵押背书,国际企业组,2017-03-23
2907595,endorsement without recourse,无追索权背书,,无追索权背书,国际企业组,2017-03-23
2907596,enforced liquidation,强制性清算,,强制性清算,国际企业组,2017-03-23
2907597,entrepot trade,转口贸易,,转口贸易,国际企业组,2017-03-23
2907598,entry barrier,进入障碍,,进入壁垒,国际企业组,2017-03-23
2907599,entry permit,入境许可,,入境许可,国际企业组,2017-03-23
2907600,equalization fund,平准基金,,外汇平衡基金；平准基金,国际企业组,2017-03-23
2907601,equilibrium of balance of payments,国际收支平衡,,国际收支平衡,国际企业组,2017-03-23
2907602,equilibrium price,均衡价格,,均衡价格,国际企业组,2017-03-23
2907603,equilibrium rate of exchange,均衡汇率,,均衡汇率,国际企业组,2017-03-23
2907604,equilibrium rate of interest,均衡利率,,均衡利率,国际企业组,2017-03-23
2907605,equity capital,权益资本,,股权资本,国际企业组,2017-03-23
2907606,equity derivative,股权衍生证券,,股本衍生工具,国际企业组,2017-03-23
2907607,equity market,股权市场,,股票市场,国际企业组,2017-03-23
2907608,equity premium,股权溢价,,股权溢价,国际企业组,2017-03-23
2907609,equity premium puzzle,股权溢价困惑,,股本溢价之谜,国际企业组,2017-03-23
2907610,equity security,股权凭证,,股权凭证,国际企业组,2017-03-23
2907611,equity to asset ratio,股东权益与资产比率,,股东权益与资产比率,国际企业组,2017-03-23
