ID,英文詞彙,中文名詞,備註,審定日期,更新日期
21389248,grade crossing,平交道,公路,2025.12.09,2026-06-25
21389249,grade separation,立体交叉,公路,2025.12.09,2026-06-25
21389250,gradeability,爬坡能力,公路,2025.12.09,2026-06-25
21389251,grades of highway,公路等级,公路,2025.12.09,2026-06-25
21389252,gradient resistance,坡度阻力,公路,2025.12.09,2026-06-25
21389253,gravel scrubber and washer,洗石机,公路,2025.12.09,2026-06-25
21389254,gravity abutment,重力式桥台,公路,2025.12.09,2026-06-25
21389255,gravity model,重力模式；引力模式；重力模型；引力模型,公路,2025.12.09,2026-06-25
21389256,green light interval,绿灯时相长度,公路,2025.12.09,2026-06-25
21389257,gross vehicle weight,汽车总重量,公路,2025.12.09,2026-06-25
21389258,gross weight,总重｛货运｝,公路,2026.06.22,2026-06-25
21389259,ground clearance,最低地距,公路,2025.12.09,2026-06-25
21389260,ground water,地下水,公路,2025.12.09,2026-06-25
21389261,group action of piles,群桩作用,公路,2025.12.09,2026-06-25
21389262,group reduction factor of piles,群桩折减系数,公路,2025.12.09,2026-06-25
21389263,grouting machine,灌浆机,公路,2025.12.09,2026-06-25
21389264,guarantee for delivery,交货担保,公路,2025.12.09,2026-06-25
21389265,gusset plate,角接板；隅板,公路,2025.12.09,2026-06-25
21389266,gyratory crusher,回旋碎石机,公路,2025.12.09,2026-06-25
21389267,half-through bridge,半穿式桥,公路,2025.12.09,2026-06-25
21389268,hand driven rivet,手打铆钉,公路,2025.12.09,2026-06-25
21389269,hand tally counter,手按式计数器,公路,2025.12.09,2026-06-25
21389270,hand truck,手推工作车,公路,2025.12.09,2026-06-25
21389271,hand-and-arm signal,行车手势,公路,2025.12.09,2026-06-25
21389272,hazard marker,危险标记,公路,2025.12.09,2026-06-25
21389273,high-strength bolt,高强度螺栓,公路,2025.12.09,2026-06-25
21389274,high-tension wire,高拉力钢线,公路,2025.12.09,2026-06-25
21389275,highway,公路,公路,2025.12.09,2026-06-25
21389276,highway classification,公路分类,公路,2025.12.09,2026-06-25
21389277,highway development right,临路开发权,公路,2025.12.09,2026-06-25
21389278,highway enterprise,公路企业,公路,2025.12.09,2026-06-25
21389279,highway hostel,公路旅舍,公路,2025.12.09,2026-06-25
21389280,highway inventory,公路资料清册；公路台账,公路,2025.12.09,2026-06-25
21389281,highway landscaping,公路景观美化,公路,2025.12.09,2026-06-25
21389282,highway management,公路管理,公路,2025.12.09,2026-06-25
21389283,highway needs study,公路需求研究,公路,2025.12.09,2026-06-25
21389284,highway operating business,公路经营业务,公路,2025.12.09,2026-06-25
21389285,highway patrol,公路巡逻,公路,2025.12.09,2026-06-25
21389286,highway restaurant,公路餐厅,公路,2025.12.09,2026-06-25
21389287,highway sufficiency rating,公路负荷评量,公路,2025.12.09,2026-06-25
21389288,highway type,公路型式,公路,2025.12.09,2026-06-25
21389289,horizontal clearance,净宽；水平净空,公路,2025.12.09,2026-06-25
21389290,horizontal curved bridge,水平曲线桥,公路,2026.06.22,2026-06-25
21389291,hot penetration asphalt macadam surface course,热灌沥青碎石面层,公路,2025.12.09,2026-06-25
21389292,hot-laid mixture,热铺混合料,公路,2025.12.09,2026-06-25
21389293,hot-mix asphalt concrete,热拌沥青混凝土,公路,2025.12.09,2026-06-25
21389294,house trailer,住屋式拖车,公路,2025.12.09,2026-06-25
21389295,humidifier,加湿器,公路,2025.12.09,2026-06-25
21389296,hydraulic brake,液压煞车,公路,2025.12.09,2026-06-25
21389297,hydraulic cement,水硬性水泥,公路,2025.12.09,2026-06-25
21389298,hydrophilic aggregate,亲水性粒料,公路,2025.12.09,2026-06-25
21389299,hydrophobic aggregate,疏水性粒料,公路,2025.12.09,2026-06-25
21389300,I-beam,I形梁；工字梁,公路,2025.12.09,2026-06-25
21389301,I-beam bridge,I形梁桥；工字梁桥,公路,2025.12.09,2026-06-25
21389302,idle speed,怠速；惰速,公路,2025.12.09,2026-06-25
21389303,illumination,照明,公路,2026.06.22,2026-06-25
21389304,impact load,冲击载重,公路,2025.12.09,2026-06-25
21389305,impactor,捣固机；冲击器{环工},公路,2025.12.09,2026-06-25
21389306,impervious bed,不透水层,公路,2025.12.09,2026-06-25
21389307,incandescent lamp,白炽路灯,公路,2025.12.09,2026-06-25
21389308,inclination tester,倾斜角试验器；倾斜试验器,公路,2025.12.09,2026-06-25
21389309,indemnity of damage,损害赔偿,公路,2025.12.09,2026-06-25
21389310,information sign,指示标志,公路,2025.12.09,2026-06-25
21389311,initial fare,基本票价,公路,2025.12.09,2026-06-25
21389312,initial mileage,基本里程,公路,2025.12.09,2026-06-25
21389313,initial rates,基本运费,公路,2025.12.09,2026-06-25
21389314,initial time,基本时间,公路,2025.12.09,2026-06-25
21389315,inner lane,内侧车道,公路,2025.12.09,2026-06-25
21389316,inspection of vehicle,车辆检验,公路,2025.12.09,2026-06-25
21389317,intercepting ditch,截水沟,公路,2025.12.09,2026-06-25
21389318,intergranular pressure,粒间压力,公路,2025.12.09,2026-06-25
21389319,intermediate span,内跨；内孔,公路,2025.12.09,2026-06-25
21389320,intermediate stiffener,中间加劲条,公路,2025.12.09,2026-06-25
21389321,intermediate sway bracing,中间抗摇撑,公路,2025.12.09,2026-06-25
21389322,intermittent welding,断续电銲,公路,2025.12.09,2026-06-25
21389323,intermodal transport,复合式运输,公路,2025.12.09,2026-06-25
21389324,international driving permit,国际驾驶执照,公路,2025.12.09,2026-06-25
21389325,interurban bus,城际巴士,公路,2025.12.09,2026-06-25
21389326,interval,间距；时距；间隔；时段,公路,2025.12.09,2026-06-25
21389327,intervening opportunities model,介入机会模式,公路,2025.12.09,2026-06-25
21389328,inventory adjustment voucher,存货调整单{材料},公路,2025.12.09,2026-06-25
21389329,invert form,仰拱模,公路,2025.12.09,2026-06-25
21389330,investigation of traffic accident,交通事故研究；交通事故调查,公路,2025.12.09,2026-06-25
21389331,isolated control signal,单一路口控制号志,公路,2025.12.09,2026-06-25
21389332,jackhammer,空压式凿机,公路,2025.12.09,2026-06-25
21389333,jiggle bar,分向标钮,公路,2025.12.09,2026-06-25
21389334,job site,工区；工地,公路,2025.12.09,2026-06-25
21389335,joint operation,联营；联运,公路,2025.12.09,2026-06-25
21389336,joint rates,货物联运价目表,公路,2025.12.09,2026-06-25
21389337,just compensation,合理补偿,公路,2025.12.09,2026-06-25
21389338,kernel area,核心面积,公路,2025.12.09,2026-06-25
21389339,key counts,基本交通量调查,公路,2025.12.09,2026-06-25
21389340,kingpin,大王梢,公路,2025.12.09,2026-06-25
21389341,kingpin inclination,大王梢倾角,公路,2025.12.09,2026-06-25
21389342,kneading compactor,揉搓夯压机,公路,2025.12.09,2026-06-25
21389343,laboratory compactor,实验室夯压机,公路,2025.12.09,2026-06-25
21389344,lacing,水平向斜撑；联条,公路,2025.12.09,2026-06-25
21389345,lap joint,搭接；搭接接头；叠接接合,公路,2025.12.09,2026-06-25
21389346,lateral aisle,侧向支道,公路,2025.12.09,2026-06-25
21389347,lateral bracing,侧撑,公路,2025.12.09,2026-06-25
21389348,length comparator,比长仪,公路,2025.12.09,2026-06-25
21389349,letter of credit(L/C),信用状,公路,2025.12.09,2026-06-25
21389350,level crossing angle,铁公路交角；平交道交角,公路,2025.12.09,2026-06-25
21389351,leveling course,整平层,公路,2025.12.09,2026-06-25
21389352,license suspended,吊扣驾照,公路,2025.12.09,2026-06-25
21389353,lift bridge,升降桥,公路,2025.12.09,2026-06-25
21389354,light delivery truck,小货车,公路,2025.12.09,2026-06-25
21389355,light truck,小货车,公路,2025.12.09,2026-06-25
21389356,lighting regulation,灯光使用规定,公路,2025.12.09,2026-06-25
21389357,lignin derivatives,木质素衍生物,公路,2025.12.09,2026-06-25
21389358,limitation on backing,倒车限制,公路,2025.12.09,2026-06-25
21389359,limitation on overtaking,超车限制,公路,2025.12.09,2026-06-25
21389360,lining,衬砌；衬面；内衬板；衬里,公路,2025.12.09,2026-06-25
21389361,liquid asphalt,液态沥青,公路,2025.12.09,2026-06-25
21389362,liquid limit,液性限度,公路,2025.12.09,2026-06-25
21389363,liquidity index,液性指数,公路,2025.12.09,2026-06-25
21389364,live load,活载重,公路,2026.06.22,2026-06-25
21389365,load and unload,装卸,公路,2025.12.09,2026-06-25
21389366,load limit,载重限制,公路,2025.12.09,2026-06-25
21389367,load meter,重量计；地磅,公路,2025.12.09,2026-06-25
21389368,load stage,载重阶段,公路,2025.12.09,2026-06-25
21389369,loading zone,装卸区,公路,2025.12.09,2026-06-25
21389370,loadometer survey,交通载重调查,公路,2025.12.09,2026-06-25
21389371,local street system,地区街道系统,公路,2025.12.09,2026-06-25
21389372,local transit,地区客运｛公路｝；局部输送｛铁路｝,公路,2025.12.09,2026-06-25
21389373,longitudinal force,纵向力,公路,2025.12.09,2026-06-25
21389374,longitudinal grade,纵坡,公路,2025.12.09,2026-06-25
21389375,long-range planning,长程规划,公路,2025.12.09,2026-06-25
21389376,Los Angeles abrasion testing machine,洛杉矶磨损试验机,公路,2025.12.09,2026-06-25
21389377,loss of prestress,预力损失,公路,2025.12.09,2026-06-25
21389378,low bed semi-trailer,平板半拖车,公路,2025.12.09,2026-06-25
21389379,low-body trailer,低身拖车,公路,2025.12.09,2026-06-25
21389380,luggage receipt,行李票；行李收据,公路,2025.12.09,2026-06-25
21389381,magnet cleaner,铁屑磁吸器,公路,2025.12.09,2026-06-25
21389382,main aisle,主要通道,公路,2025.12.09,2026-06-25
21389383,main girder,主梁,公路,2025.12.09,2026-06-25
21389384,main reinforcement,主钢筋,公路,2025.12.09,2026-06-25
21389385,main truss,主桁架,公路,2025.12.09,2026-06-25
21389386,maintenance cost,维护成本,公路,2025.12.09,2026-06-25
21389387,maintenance sub depot,次级检修站,公路,2025.12.09,2026-06-25
21389388,major arterial system,主要干道系统,公路,2025.12.09,2026-06-25
21389389,major repair,大修,公路,2025.12.09,2026-06-25
21389390,marshall test apparatus,马歇尔试验仪,公路,2025.12.09,2026-06-25
21389391,mass concrete,巨积混凝土,公路,2025.12.09,2026-06-25
21389392,maximum speed limit,最高速限,公路,2025.12.09,2026-06-25
21389393,mechanical screen,筛分机,公路,2025.12.09,2026-06-25
21389394,median,中位数；中间分隔带{公路}；中央分隔带,公路,2025.12.09,2026-06-25
21389395,median island,中央安全岛,公路,2025.12.09,2026-06-25
21389396,median lane,分隔带车道,公路,2025.12.09,2026-06-25
21389397,median opening,中央分隔带开口,公路,2025.12.09,2026-06-25
21389398,medium-curing cutback asphalt,中凝油溶沥青,公路,2025.12.09,2026-06-25
21389399,meeting,会车{交通},公路,2025.12.09,2026-06-25
21389400,mercury vapor lamp,水银路灯,公路,2025.12.09,2026-06-25
21389401,merging traffic,汇合车流,公路,2025.12.09,2026-06-25
21389402,mileage premium,里程奖金,公路,2025.12.09,2026-06-25
21389403,minimum speed regulation,最低速率管制,公路,2025.12.09,2026-06-25
21389404,minimum turning path,最小转向路径,公路,2025.12.09,2026-06-25
21389405,minimum turning radius,最小转向半径,公路,2025.12.09,2026-06-25
21389406,mix-in-place,现场拌和；就地拌和,公路,2025.12.09,2026-06-25
21389407,mobile crane,移动式起重机,公路,2025.12.09,2026-06-25
21389408,mobile shop,修护车{交通},公路,2025.12.09,2026-06-25
21389409,modal split model,运具分配模式,公路,2025.12.09,2026-06-25
21389410,modulus of foundation,基础模数,公路,2025.12.09,2026-06-25
21389411,modulus of rupture of concrete,混凝土破裂模数,公路,2025.12.09,2026-06-25
21389412,modulus ratio,模数比,公路,2025.12.09,2026-06-25
21389413,Mohr's circle,莫尔圆,公路,2025.12.09,2026-06-25
21389414,Mohr's theory of rupture,摩尔破裂理论,公路,2025.12.09,2026-06-25
21389415,moment of inertia,惯性矩,公路,2025.12.09,2026-06-25
21389416,monopoly bus service,专营巴士路线,公路,2025.12.09,2026-06-25
21389417,mortar,砂浆,公路,2025.12.09,2026-06-25
21389418,motor carriers,汽车运输业,公路,2025.12.09,2026-06-25
21389419,motor grader,平路机,公路,2025.12.09,2026-06-25
21389420,motor transit cooperative society,运输合作社,公路,2025.12.09,2026-06-25
21389421,motor transportation,汽车运输,公路,2025.12.09,2026-06-25
21389422,motor-vehicle-use study,机动车使用情况调查研究,公路,2025.12.09,2026-06-25
21389423,movable bridge,活动桥,公路,2025.12.09,2026-06-25
21389424,multi-leg intersection,多叉路口；多支交岔路口,公路,2026.06.22,2026-06-25
21389425,multiple-unit truck,多节货车,公路,2025.12.09,2026-06-25
21389426,natural asphalt,天然沥青,公路,2025.12.09,2026-06-25
21389427,net weight,净重,公路,2025.12.09,2026-06-25
21389428,neutral axis,中性轴,公路,2025.12.09,2026-06-25
21389429,Newmark's influence value,纽麻氏影响值,公路,2025.12.09,2026-06-25
21389430,noise prevention,噪音预防,公路,2025.12.09,2026-06-25
21389431,non-compressive soil,非压缩性土壤,公路,2025.12.09,2026-06-25
21389432,non-plastic soil,无塑性土壤,公路,2025.12.09,2026-06-25
21389433,normal speed,正常速率,公路,2025.12.09,2026-06-25
21389434,normal stress,正向应力,公路,2025.12.09,2026-06-25
21389435,offset,偏移；时差{交通}；时距{交通},公路,2025.12.09,2026-06-25
21389436,one way,单行道,公路,2025.12.09,2026-06-25
21389437,open-graded aggregate,开放级配粒料,公路,2025.12.09,2026-06-25
21389438,operating delay,营运延滞,公路,2025.12.09,2026-06-25
21389439,operation beyond authorized district,越区营运,公路,2025.12.09,2026-06-25
21389440,optimum moisture content,最佳含水量,公路,2025.12.09,2026-06-25
21389441,orthotropic steel bridge,正交异向钢构桥,公路,2025.12.09,2026-06-25
21389442,outcrop,露头,公路,2025.12.09,2026-06-25
21389443,outer connection,外转连结道,公路,2025.12.09,2026-06-25
21389444,outer separation lane,外侧分隔车道,公路,2025.12.09,2026-06-25
21389445,overall travel speed,全程行驶速率,公路,2025.12.09,2026-06-25
21389446,overall travel time,全程行驶时间,公路,2025.12.09,2026-06-25
21389447,overhead hoist,架空起重设备,公路,2025.12.09,2026-06-25
21389448,overlap,重叠；超覆；搭叠,公路,2025.12.09,2026-06-25
21389449,overload,超载,公路,2025.12.09,2026-06-25
21389450,overpass,跨越桥,公路,2025.12.09,2026-06-25
21389451,overweight,超重,公路,2025.12.09,2026-06-25
21389452,packing list,装箱单,公路,2025.12.09,2026-06-25
21389453,pallet,栈板,公路,2025.12.09,2026-06-25
21389454,pallet transportation,栈板运输,公路,2025.12.09,2026-06-25
21389455,panel,面板；平板,公路,2025.12.09,2026-06-25
21389456,parcel receipt,包裹票；包裹收据,公路,2025.12.09,2026-06-25
21389457,parked vehicle,停置车辆,公路,2025.12.09,2026-06-25
21389458,parking lane,停车道,公路,2025.12.09,2026-06-25
21389459,parkway,公园大道；园道；景观道路,公路,2025.12.09,2026-06-25
21389460,partial cutting and partial filling,半挖半填,公路,2025.12.09,2026-06-25
21389461,passenger car,小客车,公路,2025.12.09,2026-06-25
21389462,passenger car equivalent (PCE),小客车当量,公路,2025.12.09,2026-06-25
21389463,passenger limit,载客限制,公路,2025.12.09,2026-06-25
21389464,passenger tariff table,票价表,公路,2025.12.09,2026-06-25
21389465,passing,超车,公路,2025.12.09,2026-06-25
21389466,passing bay,避让车道；避车弯,公路,2025.12.09,2026-06-25
21389467,passing regulation,超车规定,公路,2025.12.09,2026-06-25
21389468,passing sight distance,超车视距,公路,2025.12.09,2026-06-25
21389469,passive earth pressure,被动土压力,公路,2025.12.09,2026-06-25
21389470,pavement structure,铺面结构,公路,2025.12.09,2026-06-25
21389471,pavement widening,路面加宽,公路,2025.12.09,2026-06-25
21389472,paving breaker,路面破碎机,公路,2025.12.09,2026-06-25
21389473,paving brick,铺面砖,公路,2025.12.09,2026-06-25
21389474,peak hour factor (PHF),尖峰小时因数,公路,2025.12.09,2026-06-25
21389475,peak hour traffic,尖峰小时交通量,公路,2025.12.09,2026-06-25
21389476,peak season,运输旺季,公路,2025.12.09,2026-06-25
21389477,pedestrian bridge,行人桥；人行陆桥,公路,2025.12.09,2026-06-25
21389478,pedestrian signal,行人号志；行人指示灯,公路,2025.12.09,2026-06-25
21389479,penetration depth of fusion,熔入度,公路,2025.12.09,2026-06-25
21389480,penetration of bituminous material,沥青材料针入度,公路,2025.12.09,2026-06-25
21389481,perforated pipe,有孔管类,公路,2025.12.09,2026-06-25
21389482,peripheral vision,周边视界,公路,2025.12.09,2026-06-25
21389483,petroleum asphalt,石油地沥青,公路,2025.12.09,2026-06-25
21389484,phase,相；时相；阶段；时期,公路,2025.12.09,2026-06-25
21389485,pier,码头,公路,2026.06.22,2026-06-25
21389486,pier foundation,墩基,公路,2025.12.09,2026-06-25
21389487,piggyback service,驮负运输,公路,2025.12.09,2026-06-25
21389488,pile,桩,公路,2025.12.09,2026-06-25
21389489,pile cap,桩帽,公路,2025.12.09,2026-06-25
21389490,pile driver,打桩机,公路,2025.12.09,2026-06-25
21389491,pile driving lead,打桩导架,公路,2025.12.09,2026-06-25
21389492,pile foundation,桩基,公路,2025.12.09,2026-06-25
21389493,pile load test,桩载重试验；桩荷重试验,公路,2025.12.09,2026-06-25
21389494,pile pulling test,拔桩试验,公路,2025.12.09,2026-06-25
21389495,pile shoe,桩尖,公路,2025.12.09,2026-06-25
21389496,pilebent pier,桩架式桥墩,公路,2025.12.09,2026-06-25
21389499,plant mix,厂拌,公路,2025.12.09,2026-06-25
21389500,plastic limit,塑性限度,公路,2025.12.09,2026-06-25
21389501,plate bearing test apparatus,钣载重试验仪；钣承力试验仪,公路,2025.12.09,2026-06-25
21389502,plate girder,板梁,公路,2025.12.09,2026-06-25
21389503,plate girder bridge,钣梁桥,公路,2025.12.09,2026-06-25
21389504,plumb bob,准锤,公路,2025.12.09,2026-06-25
21389505,plywood,夹板；胶合板,公路,2025.12.09,2026-06-25
21389506,pneumatic caisson,气压沉箱,公路,2025.12.09,2026-06-25
21389507,pneumatic digger,气动掘土机,公路,2025.12.09,2026-06-25
21389508,Poisson's ratio,波松比,公路,2025.12.09,2026-06-25
21389509,porosity,孔隙率；气孔,公路,2025.12.09,2026-06-25
21389510,porous bed,多孔层,公路,2025.12.09,2026-06-25
21389511,porous-concrete pipe,多孔混凝土管,公路,2025.12.09,2026-06-25
21389512,portable asphalt concrete mixer,移动式沥青混凝土拌合机,公路,2025.12.09,2026-06-25
21389513,portable compression testing machine,可携式压缩试验机,公路,2025.12.09,2026-06-25
21389514,portal,门形刚架；洞口{隧道},公路,2025.12.09,2026-06-25
21389515,Portland cement,卜特兰水泥,公路,2025.12.09,2026-06-25
21389516,power driven rivet,机打铆钉,公路,2025.12.09,2026-06-25
21389517,precast,预铸,公路,2025.12.09,2026-06-25
21389518,precast concrete pile,预铸混凝土桩,公路,2025.12.09,2026-06-25
21389519,preloading,预加载,公路,2025.12.09,2026-06-25
21389520,preloading method,预压法,公路,2025.12.09,2026-06-25
21389521,pressure bulb,压力球面,公路,2025.12.09,2026-06-25
21389522,prestressed steel bridge,预力钢桥,公路,2025.12.09,2026-06-25
21389523,prestressing,预力；施预力,公路,2025.12.09,2026-06-25
21389524,prevailing traffic condition,实地交通情况,公路,2025.12.09,2026-06-25
21389525,private car,自用汽车,公路,2025.12.09,2026-06-25
21389526,private highway,私有公路,公路,2025.12.09,2026-06-25
21389527,progressive signal system,续进号志系统,公路,2025.12.09,2026-06-25
21389528,provincial highway,省道,公路,2025.12.09,2026-06-25
21389529,proving ring,检校环,公路,2025.12.09,2026-06-25
21389530,punched hole,冲成孔,公路,2025.12.09,2026-06-25
21389531,quick clay,流黏土；流粘土{超敏黏土},公路,2025.12.09,2026-06-25
21389532,quick sand,砂涌,公路,2025.12.09,2026-06-25
21389533,railing,栏杆,公路,2025.12.09,2026-06-25
21389534,raised bar,分向标杆,公路,2025.12.09,2026-06-25
21389535,ramp,匝道｛公路｝；移动梯{机场}；坡道{建筑},公路,2025.12.09,2026-06-25
21389536,Rankine earth pressure theory,朗钦土压力理论,公路,2025.12.09,2026-06-25
21389537,rapid-curing cutback asphalt,快凝油溶沥青,公路,2025.12.09,2026-06-25
21389538,rear dump loader,后卸式装载机,公路,2025.12.09,2026-06-25
21389539,rear-view mirror,车内后视镜,公路,2026.06.22,2026-06-25
21389540,rebound of pile,桩反跳；桩回升,公路,2025.12.09,2026-06-25
21389541,red light interval,红灯时段,公路,2025.12.09,2026-06-25
21389542,reflective button,反光标钮,公路,2025.12.09,2026-06-25
21389543,reflective sheeting,反光片｛交通标志｝,公路,2026.06.22,2026-06-25
21389544,refuge island,庇护岛,公路,2025.12.09,2026-06-25
21389545,regain of clay strength,粘土强度之恢复,公路,2025.12.09,2026-06-25
21389546,regional transportation planning,区域交通规划,公路,2025.12.09,2026-06-25
21389547,regular bus,班车,公路,2025.12.09,2026-06-25
21389548,retaining structure,挡土构造物,公路,2025.12.09,2026-06-25
21389549,retarding admixture for concrete,混凝土缓凝剂,公路,2025.12.09,2026-06-25
21389550,re-tensioning,重施预力,公路,2025.12.09,2026-06-25
21389551,retreaded tire,翻新胎,公路,2025.12.09,2026-06-25
21389552,riveted joint,铆钉接头,公路,2025.12.09,2026-06-25
21389553,right-hand driving,车辆右行,公路,2025.12.09,2026-06-25
21389554,rigid frame abutment,刚架式桥台,公路,2025.12.09,2026-06-25
21389555,rigid frame bridge,刚架桥,公路,2025.12.09,2026-06-25
21389556,rigid frame pier,刚构式桥墩,公路,2025.12.09,2026-06-25
21389557,rigid pavement,刚性铺面；刚性路面,公路,2025.12.09,2026-06-25
21389558,ripper,犁耙机,公路,2025.12.09,2026-06-25
21389559,riprap,堆石,公路,2025.12.09,2026-06-25
21389560,rivet,铆钉,公路,2025.12.09,2026-06-25
21389561,rivet gage,铆钉行距,公路,2025.12.09,2026-06-25
21389562,rivet gun,铆钉鎗,公路,2025.12.09,2026-06-25
21389563,rivet hammer,铆钉锤,公路,2025.12.09,2026-06-25
21389564,rivet hole,铆钉孔,公路,2025.12.09,2026-06-25
21389565,rivet length,铆钉长,公路,2025.12.09,2026-06-25
21389566,rivet pitch,铆钉中心距,公路,2025.12.09,2026-06-25
21389567,rivet spacing,铆钉间距,公路,2025.12.09,2026-06-25
21389568,rivet value,铆钉强度,公路,2025.12.09,2026-06-25
21389569,riveted connection,铆钉接头,公路,2025.12.09,2026-06-25
21389570,riveter,铆合机,公路,2025.12.09,2026-06-25
21389571,road maintainer,养路机,公路,2025.12.09,2026-06-25
21389572,road roller,压路机,公路,2025.12.09,2026-06-25
21389573,road roughness indicator (RRI),路面糙度指示仪,公路,2025.12.09,2026-06-25
21389574,roadbed,路床,公路,2025.12.09,2026-06-25
21389575,roadside,路侧,公路,2025.12.09,2026-06-25
21389576,roadside control,路侧管制,公路,2025.12.09,2026-06-25
21389577,roadside zoning,路侧土地使用分区,公路,2025.12.09,2026-06-25
21389578,rock drill,凿岩机,公路,2025.12.09,2026-06-25
21389579,rod mill,棒磨机,公路,2025.12.09,2026-06-25
21389580,roller crusher,滚筒式碎石机,公路,2025.12.09,2026-06-25
21389581,rotary sampler,旋转取样器,公路,2025.12.09,2026-06-25
21389582,roundabout central island,圆环中心岛,公路,2025.12.09,2026-06-25
21389583,running speed,行驶速率,公路,2025.12.09,2026-06-25
21389584,sample ejector,样品顶出器,公路,2025.12.09,2026-06-25
21389585,sand asphalt,砂拌沥青,公路,2025.12.09,2026-06-25
21389586,sand island method,砂岛法,公路,2025.12.09,2026-06-25
21389587,sand pile drainage,砂桩排水,公路,2025.12.09,2026-06-25
21389588,sand piling,砂桩法,公路,2025.12.09,2026-06-25
21389589,scouring,冲刷；冲蚀,公路,2025.12.09,2026-06-25
21389590,scrap,废料；废弃物,公路,2025.12.09,2026-06-25
21389591,screen line count,屏栅线调查,公路,2026.06.22,2026-06-25
21389592,seal coat,封层｛公路｝,公路,2025.12.09,2026-06-25
21389593,second grade road,二级路面,公路,2025.12.09,2026-06-25
21389594,section property,断面性质,公路,2025.12.09,2026-06-25
21389595,sedimentation,沉积作用；沉淀,公路,2025.12.09,2026-06-25
21389596,seepage,渗流,公路,2025.12.09,2026-06-25
21389597,self-propelled scraper,自动刮运机,公路,2025.12.09,2026-06-25
21389598,semi-traffic actuated signal,半交通触动号志,公路,2025.12.09,2026-06-25
21389599,semi-trailer,半拖车,公路,2025.12.09,2026-06-25
21389600,service car,救济车,公路,2025.12.09,2026-06-25
21389601,setback line,限建线,公路,2025.12.09,2026-06-25
21389602,settlement,沉陷；沉降,公路,2025.12.09,2026-06-25
21389603,shaft pier,立柱式桥墩,公路,2025.12.09,2026-06-25
21389604,shear connector,剪力连接器,公路,2025.12.09,2026-06-25
21389605,shear modulus of elasticity,剪力弹性模数,公路,2025.12.09,2026-06-25
21389606,shear resistance of soil,土壤抗剪力,公路,2025.12.09,2026-06-25
21389607,shear stress,剪应力,公路,2025.12.09,2026-06-25
21389608,sheath,套管；套,公路,2025.12.09,2026-06-25
21389609,sheath grouting,套管灌浆,公路,2025.12.09,2026-06-25
21389610,sheet asphalt,片沥青,公路,2025.12.09,2026-06-25
21389611,sheet asphalt surface course,片地沥青面层,公路,2025.12.09,2026-06-25
21389612,sheet piling cofferdam,板桩式围堰,公路,2025.12.09,2026-06-25
21389613,sheet piling method,板桩法,公路,2025.12.09,2026-06-25
21389614,shoulder,涨模；模板错位；路肩{交通},公路,2025.12.09,2026-06-25
21389615,shovel,铲土机,公路,2025.12.09,2026-06-25
21389616,shrinkage limit,收缩限度,公路,2025.12.09,2026-06-25
21389617,side mirror,车侧后视镜,公路,2026.06.22,2026-06-25
21389618,side slope of grade,路基边坡,公路,2025.12.09,2026-06-25
21389619,side slope stabilization,边坡稳定,公路,2025.12.09,2026-06-25
21389620,side walk,人行道,公路,2025.12.09,2026-06-25
21389621,sieve analysis,筛分析,公路,2025.12.09,2026-06-25
21389622,sightseeing bus,观光巴士；游览车,公路,2025.12.09,2026-06-25
21389623,sightseeing trip,观光旅次,公路,2025.12.09,2026-06-25
21389624,simple beam bridge,简支梁桥,公路,2025.12.09,2026-06-25
21389625,simultaneous signal system,同亮号志系统,公路,2025.12.09,2026-06-25
21389626,single acting steam hammer,单动式蒸汽锤,公路,2025.12.09,2026-06-25
21389627,single axle load,单轴荷重,公路,2025.12.09,2026-06-25
21389628,single footing,单独基脚；独立基脚,公路,2025.12.09,2026-06-25
21389629,single unit truck,单体货车,公路,2025.12.09,2026-06-25
21389630,skew angle,斜角,公路,2025.12.09,2026-06-25
21389631,skew bridge,斜交桥,公路,2025.12.09,2026-06-25
21389632,skip phase,时相跳越,公路,2025.12.09,2026-06-25
21389633,slab bridge,版桥,公路,2025.12.09,2026-06-25
21389634,slaking,消散；潮解,公路,2025.12.09,2026-06-25
21389635,slaty cleavage,板状劈理,公路,2025.12.09,2026-06-25
21389636,sliding circle,滑动圆,公路,2025.12.09,2026-06-25
21389637,sliding surface,滑动面,公路,2025.12.09,2026-06-25
21389638,slope failure,边坡破坏,公路,2025.12.09,2026-06-25
21389639,slope-floor garage,斜板停车场,公路,2025.12.09,2026-06-25
21389640,slow-curing liquid asphalt,慢凝液体地沥青,公路,2025.12.09,2026-06-25
21389641,sodium vapor lamp,钠弧照明路灯,公路,2025.12.09,2026-06-25
21389642,soft ground,软弱地盘,公路,2025.12.09,2026-06-25
21389643,soil cement base course,水泥土壤底层,公路,2025.12.09,2026-06-25
21389644,soil mechanics,土壤力学,公路,2025.12.09,2026-06-25
21389645,soil type base course,土壤底层,公路,2025.12.09,2026-06-25
21389646,solid line,实线｛交通标线｝,公路,2025.12.09,2026-06-25
21389647,solid pier,实心桥墩,公路,2025.12.09,2026-06-25
21389648,sound level meter,音量计,公路,2025.12.09,2026-06-25
21389649,soundness of aggregate,粒料健度,公路,2025.12.09,2026-06-25
21389650,spacer,间隔器,公路,2025.12.09,2026-06-25
21389651,span,跨；跨距；跨度；跨径,公路,2025.12.09,2026-06-25
